<!--From: Ereignis_1.1.csv -->
''wikipedia-link'' are used for descriptive texts whereas ''commonsconnection'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-"

Multiple categories are separated by ";"

*död/begravning: [[:Category:Funeral of X of Sweden]]
*kröning: [[:Category:Coronation of X of Sweden]]
*bröllop:[[:Category:Wedding of X and Y of Sweden]]
===Event|Frequency|wikipedia-link|Commonsconnection===
*Karl X Gustavs död och begravning|379|[[:sv:Karl X Gustav]]|[[:Category:Funeral of Charles X Gustav of Sweden]]
*Krigsbyte från Tyskland, Mainz|354||[[:Category:War trophies seized from Germany by Sweden]]
*Slaget vid Saladen|205|[[:sv:Slaget vid Saladen]]|[[:Category:Battle of Saladen]]
*Krigsbyte från Danmark|205||[[:Category:War trophies seized from Denmark by Sweden]]
*Tornerspelet på Adolf Fredriks torg 1777|170||[[:Category:The 1777 tournament at Adolf Fredriks torg]]
*Krigsbyte från Tyskland, Glogau|138||[[:Category:War trophies seized from Germany by Sweden]]
*Gustav II Adolf och Maria Eleonoras bröllop|104|[[:sv:Gustav II Adolf]]|[[:Category:Wedding of Gustav II Adolf and Maria Eleanor of Sweden]]
*Gustavianska riddarspelen|99|[[:sv:Gustav III]]|[[:Category:The Gustavian knightly games]]
*Krigsbyte från ?|74||[[:Category:War trophies seized by Sweden]]
*Tornerspelen på Drottningholm 1799|74||[[:Category:The 1799 tournament at Drottningholm]]
*Adolf Fredrik och Lovisa Ulrikas kröning|72|[[:sv:Adolf Fredrik]]|[[:Category:Coronation of Adolf Frederick an Louisa Ulrika of Sweden]]
*Karl XI:s kröning|72|[[:sv:Karl XI]]|[[:Category:Coronation of Charles XI of Sweden]]
*Kristinas kröning|65|[[:sv:Drottning Kristina]]|[[:Category:Coronation of Christina of Sweden]]
*Erövringen av Warszawa|63|[[:sv:Tredagarsslaget_vid_Warszawa]]|
*Erövringen av Thorn (Torun)|62|[[:sv:Belägringen av Thorn]]|
*Krigsbyte från Polen|59||[[:Category:War trophies seized from Poland by Sweden]]
*Dalupproret, Stora Daldansen 1743|54|[[:sv:Dalupproret 1743]]|
*Karl X Gustavs kröning|53|[[:sv:Karl X Gustav]]|[[:Category:Coronation of Charles X of Sweden]]
*Karl XI:s karusell|53|[[:sv:Karl XI]]|[[:Category:The 1672 tournament at Rännarbanan]]
*Krigsbyte från Tyskland (?)|44||[[:Category:War trophies seized from Germany by Sweden]]
*Karl XIV Johans kröning i Stockholm|42|[[:sv:Karl XIV Johan]]|[[:Category:Coronation of Charles XIV John of Sweden]]
*Gustaf V:s död och begravning|42|[[:sv:Gustaf V]]|[[:Category:Funeral of Gustav V of Sweden]]
*Slaget vid Narva|41|[[:sv:Slaget vid Narva]]|[[:Category:Battle of Narva (1700)]]
*Tornerspelet på Ekolsund 1776|39||[[:Category:The 1776 tournament at Ekolsund]]
*Gustav II Adolfs sorgeprocession i Wolgast|38|[[:sv:Gustav II Adolf]]|[[:Category:Funeral of Gustav II Adolf of Sweden]]
*Gustav II Adolfs kröning|35|[[:sv:Gustav II Adolf]]|[[:Category:Coronation of Gustav II Adolf of Sweden]]
*Mordet på Gustav III|35|[[:sv:Mordet på Gustav III]]|[[:Category:The assassination of Gustav III of Sweden]]
*Gustav IV Adolfs dop|34|[[:sv:Gustav IV Adolf]]|
*Slaget vid Mitau|33|[[:sv:Andra_polska_kriget]]|
*Krigsbyte från Tyskland|32||[[:Category:War trophies seized from Germany by Sweden]]
*Karl X Gustav och Hedvig Eleonoras bröllop|31|[[:sv:Karl X Gustav]]|
*Första världskriget 1914 - 1919|31|[[:sv:Första världskriget]]|
*Gustav II Adolfs begravning|30|[[:sv:Gustav II Adolf]]|[[:Category:Funeral of Gustav II Adolf of Sweden]]
*Gustav III och Sofia Magdalenas bröllop|30|[[:sv:Gustav III]]|
*Slaget vid Lützen|28|[[:sv:Slaget vid Lützen]]|[[:Category:Battle of Lützen (1632)]]
*Världsomseglingen med fregatten Vanadis|26|[[:sv:HMS Vanadis]]|
*Belägringen av Fredrikstens fästning - Karl XII:s död|25|[[:sv:Belägringen av Fredrikstens fästning]]|
*Karl XIII:s kröning|24|[[:sv:Karl XIII]]|[[:Category:Coronation of Charles XIII of Sweden]]
*Hedvig Elisabeth Charlottas intåg|24|[[:sv:Hedvig Elisabet Charlotta av Holstein-Gottorp]]|
*Gustav III:s revolution|22|[[:sv:Gustav III]]|
*Gustaf V på Ornö Jaktklubb|19||
*Karl XI:s bröllop med Ulrika Eleonora av Danmark|19|[[:sv:Karl XI]]|
*Krigsbyte från Tyskland, Mainz (?)|19||[[:Category:War trophies seized from Germany by Sweden]]
*Krigsbyte från Danmark (?)|19||[[:Category:War trophies seized from Denmark by Sweden]]
*Gustaf V och Victoria av Badens bröllop|19|[[:sv:Gustaf V]]|
*Gustav III:s riddarspel 1785|19||[[:Category:The Gustavian knightly games]]
*Gustav III:s kröning|18|[[:sv:Gustav III]]|
*Karl XI:s myndighetsförklaring|18|[[:sv:Karl XI]]|
*Adolf Fredriks kröning|17|[[:sv:Adolf Fredrik]]|
*Karl XV:s kröning|17|[[:sv:Karl XV]]|
*Oscar I:s kröning|17|[[:sv:Oskar I]]|
*Gustav IV Adolfs avsättning|17|[[:sv:Gustav IV Adolf]]|
*Gustav III:s begravning|15|[[:sv:Gustav III]]|[[:Category:Funeral of Gustav III of Sweden]]
*Tortyrinstrument från Tyskland ?|14||
*Magnus Fredrik Ferdinand Björnstjernas tid som minister i London 1828 ?|13||
*Oscar I och Josefinas bröllop|13|[[:sv:Oskar I]]|
*Magnus Fredrik Ferdinand Björnstjernas tid som minister i London|13||
*Krigsbyte från Tyskland, Bayern|13||[[:Category:War trophies seized from Germany by Sweden]]
*Gustav IV Adolfs kröning|13|[[:sv:Gustav IV Adolf]]|
*Oscar I:s begravning|12|[[:sv:Oskar I]]|[[:Category:Funeral of Oscar I of Sweden]]
*Johan Casimirs död och begravning|11||
*Johan Kasimir och Katarina av Sveriges bröllop|11||
*Erövringen av Braunsberg (Braniewo)|11||
*Riddarspelen på Adolf Fredriks torg.|11||
*Desiderias kröning|11|[[:sv:Drottning Desideria]]|
*Karl IX:s kröning|10|[[:sv:Karl IX]]|
*Lovisa Ulrikas kröning|10|[[:sv:Lovisa Ulrika]]|
*Kriget i Polen|10||
*Krigsbyte från Tyskland (Bayern), Landsberg (?)|10||[[:Category:War trophies seized from Germany by Sweden]]
*Krigsbyte från Polen (?)|10||[[:Category:War trophies seized from Poland by Sweden]]
*Prinsessan Desirées bröllop med friherre Niclas Silfverskiöld|9|[[:sv:Prinsessan Désirée]]|
*Belägringen av Paris 1870|9||
*Dianas fest 1778|9||
*Kalabaliken i Bender (Varnitsa)|9|[[:sv:Kalabaliken i Bender]]|
*Riksdagen 1792|9||
*Instiftandet av Serafimer, Svärds- och Nordstjärneordnarna|8||
*Gustav Adolfs-jubileet 1832|8||
*Sigismund I:s bröllop med Konstantia av Österrike|8|[[:sv:Sigismund I]]|
*Krigsbyte från Tyskland, Sonnewalde|8||[[:Category:War trophies seized from Germany by Sweden]]
*Gustaf VI Adolf hedersdoktor vid Lafayette College, Easton|8|[[:sv:Gustaf VI Adolf]]|
*Fredrika Dorotheas kröning|8|[[:sv:Fredrika Dorotea Vilhelmina av Baden]]|
*Karl XIV Johans död och begravning|8|[[:sv:Karl XIV Johan]]|
*Krigsbyte från Tyskland, Ortenpurg i Bayern|8||[[:Category:War trophies seized from Germany by Sweden]]
*Slottsbranden 1697|8|[[:sv:Slottsbranden 1697]]|
*Slaget vid Hogland|8|[[:sv:Slaget vid Hogland]]|
*Karl XIII och Hedvig Elisabet Charlottas bröllop|7|[[:sv:Karl XIII]]|
*Slaget vid Dirschau|7|[[:sv:Slaget vid Dirschau]]|
*Den nya hovdräkten ?|7||
*Sofia av Nassaus kröning|7|[[:sv:Sofia av Nassau]]|
*Erövringen av Prag|7|[[:sv:Sveriges_militärhistoria#Det fortsatta kriget]]|
*Lovisa av Sveriges kröning 1860|7|[[:sv:Lovisa av Nederländerna]]|
*Karl XV:s död och begravning|7|[[:sv:Karl XV]]|
*Hedvig Elisabet Charlottas kröning|6|[[:sv:Hedvig Elisabet Charlotta av Holstein-Gottorp]]|
*Gustav III:s resa till Spa|6|[[:sv:Gustav III]]|
*Gustav III:s möte med Katarina|6|[[:sv:Gustav III]]|
*Bondetåget 1914|6|[[:sv:Bondetåget]]|
*Slaget vid Svensksund (Ruotsinsalmi)|6|[[:sv:Slaget vid Svensksund]]|
*Sofia Magdalenas kröning|6|[[:sv:Sofia Magdalena av Danmark]]|
*Riksdagens öppnande, Gustav III|6||
*Gustav III:s franska resa|6|[[:sv:Gustav III]]|
*Andra slaget vid Svensksund|6|[[:sv:Slaget vid Svensksund (1790)]]|
*Gustav III:s statskupp 1772|6|[[:sv:Gustav III:s statskupp]]|
*Constantin II av Grekland och prinsessan Anne-Marie av Danmarks bröllop|6|[[:sv:Konstantin II av Grekland]]|
*Margarethas bröllop med Mr John Ambler|6|[[:sv:Prinsessan Margaretha]]|
