<!--From: Photo_stichwort_1.2.csv -->
Set commonsconnection of irrelevant keywords to "-"

Multiple categories are separated by ";"
===Keyword|frequency|description|commonsconnection===
*Föremålsbild|2903||-
*Detalj|408|Närbild Detaljer|-
*Dokumentation|305||-
*Marknadsföring|255|Bild använd i marknadsföring|-
*Fajans|232||[[:Category:Faience]]
*Målning|204|Målningar Konst|[[:Category:Paintings]]
*Miljöbild|180|Miljöbilder|
*Ett sekel av dräkt och mode ur de Hallwylska samlingarna|177|Publikationer|
*Porslin|170||[[:Category:Porcelain]]
*Porträtt|165|Konst|[[:Category:Portraits]]
*Skor ger mer|155|Utställningar|[[:Category:Footwear‎]]
*Kunglig Vintage|154||
*Webbprojektet|152||-
*Hallwylska museet|146|Plats bilden kommer ifrån|-
*Guld|145||[[:Category:Gold]]
*Interiör|144|Interiörer|
*Klänning|138|Klänningar Kläder Dräkter|[[:Category:Dresses]]
*Fotosafari|137||
*Liggande|134|Marknadsföring|-
*Europeiskt|126||
*Dammode|122|Trender Dammoden|[[:Category:Fashion ]];[[:Category: Female clothing]]
*Stämningsbild|119|Detalj Marknadsföring|-
*Barocken|105|Barockstil Barocka|[[:Category:Baroque art]]
*Fat|104|Tallrikar|[[:Category:Plates]]
*Hjullåspistol|102|Hjullåspistoler Skjutvapen Eldvapen|[[:Category:Wheellock pistols]]
*Herrmode|95|Herrmoden Trender|[[:Category:Fashion]];[[:Category:Male clothing]]
*1600-tal|93||[[:Category:17th century]]
*Monter|87|Montrar|-
*Man|85|Män|[[:Category:Men]]
*Hästutrustning|82||[[:Category:Horse equipment]]
*Dekorerade|78|Dekoration|
*Stående|76|Marknadsföring|-
*Textilier|75|Tyger|[[:Category:Textiles]]
*Personal|74||-
*Hjullåsbössa|74|Hjullåsbössor Skjutvapen Eldvapen|[[:Category:Wheellock firearms]]
*Kvinna|73|Kvinnor|[[:Category:Women]]
*Siden|73||[[:Category:Silk]]
*Smak av svunnen tid|72|Utställningar Publikationer|-
