<!--From: ObjMultiple_1.2.csv -->
commonsconnection is the relevant parameter for {{technique}}. Don't forget to add a translation in Swedish at [[Template:Technique/sv]]

Set commonsconnection of irrelevant technique/material to "-".

===technique/material|frequency|commonsconnection===
*stål|3700|steel
*mässing|1708|brass
*trä|1477|wood
*silver|1305|silver
*guld|915|gold
*läder|906|leather
*siden|816|silk
*sammet|787|velvet
*valnöt|633|walnut
*silvertråd|608|silver thread
*guldtråd|582|gold thread
*silke|516|silk
*linne|449|linen
*horn|424|horn
*emalj|405|enamel
*skinn|355|hide
*linnelärft|351|
*ben|323|bone
*kläde|281|broadcloth
*furu|257|fir
*stålplåt|206|steel plate
*ylle|194|woollen
*koppar|185|copper
*sidendamast|183|
*getskinn|166|goatskin
*sidenatlas|159|
*silkestråd|153|
*mässingstråd|142|
*bomull|140|cotton
*järn|133|iron
*pärlemor|131|mother-of-pearl
*sidentaft|130|
*sämskskinn|129|chamois leather
*nötläder|115|
*papper|113|paper
*silverlan|99|
*spets|96|lace
*paljetter|92|sequins
*sidenmoaré|91|
*mässingsplåt|88|
*elfenben|88|ivory
*glas|87|glass
*guldgalon|83|
*turkos|82|turquoise
*kalvskinn|81|
*ståltråd|80|
*sidenkypert|79|
*sidenrips|77|
*metalltråd|75|metallic thread
*silketråd|74|
*taft|72|taffeta
*björk|72|birch
*silvergalon|71|
*tyll|66|tulle
*silvertyg|66|
*sidenband|64|
*lärft|64|
*ebenholts|62|ebony
*silkessammet|59|velvet
*metall|58|metal
*lan|57|
*granat|55|garnet
*rubin|53|ruby
*älghud|49|
*vitmetall|48|
*koppartråd|47|
*fiskskinn|47|
*koläder|44|
*atlas|44|
*bly|43|lead
*pärlor|42|pearls
*textil|41|
*gulmetall|41|brass
*brons|41|bronze
*pergament|40|parchment
*guldpaljetter|40|
*bergkristall|39|
*ullgarn|37|
*stenkol|37|
*silverbrokad|36|
*papp|36|
*ädelsten|35|
*näver|33|
*guldlan|31|
*galon|31|
*filt|31|
*sköldpadd|30|
*silkesammet|30|
*silverkantiljer|29|
*smaragd|28|
*silverpaljetter|28|
*jade|28|
*väv|27|
*valnötsrot|26|
*silkesfrans|26|
*päronträ|25|pearwood
*ull|24|
*sidenbrokad|24|
*mahogny|23|mahogany
*al|23|
*silkegarn|22|
*gyllenduk|22|
*rökkvarts|21|
*guldbrokad|21|
*buxbom|21|
*resår|20|
*diamant|20|diamond
*ask|20|european ash
*segelgarn|19|
*hampa|19|hemp
*yllekypert|18|
*lack|18|
*glaspärlor|18|
*vadmal|17|
*tyg|17|
*silverspets|16|
*schagg|16|
*linnetråd|16|
*alm|16|elm wood
*rips|15|
*duk|15|canvas
*damast|15|damask
*pärla|14|pearl
*hjorthorn|14|deer antler
*gjutjärn|14|
*ametist|14|amethyst
*vaxduk|13|
*silverplåt|13|
*hajskinn|13|
*guldfrans|13|
*garn|13|
*silverfrans|12|
*sidentyg|12|
*kantiljer|12|
*agat|12|
