These are the keywords used to describe the objects themselves. Classification is used for all items whereas group is only used at HWY.

when possible ord1 will be used instead of the more generic ord2.
===*Keyword|frequency|commonscategory===
*Bössor|379|[[:Category:Muskets]]
*Värjor|251|[[:Category:Smallswords]]
*Pistoler|248|[[:Category:Pistols]]
*Övriga fanor|225|[[:Category:Ensigns]]
*Hästtäcken|158|[[:Category:Horse equipment]]
*Skor|157|[[:Category:Shoes]]
*Dolkar och knivar|156|[[:Category:Knives]]
*Porträtt|153|[[:Category:Portraits]]
*Kraschaner|151|[[:Category:Orders of Sweden]]
*Sablar|144|[[:Category:Sabres]]
*Ordenstecken|127|[[:Category:Orders of Sweden]]
*Klänningar|122|[[:Category:Dresses]]
*Sadeltillbehör|121|[[:Category:Horse equipment]]
*Sadlar|116|[[:Category:Horse equipment]]
*Bett|109|[[:Category:Horse equipment]]
*Fotografier|98|[[:Category:Photographs]]
*Järn|94|
*Baljor och fodral|91|[[:Category:Sheaths]]
*Vapentillbehör|90|
*Glas, koppar och muggar|89|[[:Category:Drinkware]]
*Svärd|68|[[:Category:Swords]]
*Remmar och linor|65|[[:Category:Horse equipment]]
*Horn, flaskor och pungar|65|
*Hjälmar till rustningar|63|[[:Category:Armour parts]]
*Stövlar|59|[[:Category:Boots]]
*Blankvapen|55|[[:Category:Mêlée weapons]]
*Bardisaner|54|[[:Category:Bardiches]]
*Övriga dräkttillbehör|49|-
*Övriga barnkläder|48|[[:Category:Children's clothing]]
*Väskor och etuier|45|[[:Category:Bags]]
*Hattar|41|[[:Category:Hats]]
*Gevär|40|[[:Category:Handguns]]
*Gardiner|38|[[:Category:Curtains]]
*Övriga verktyg|36|[[:Category:Tools]]
*Hillebarder|36|[[:Category:Halberds]]
*Benpansar|36|[[:Category:Tassets]]
*Glas, keramik och porslin|34|
*Askar, bägare och fat av glas och keramik|34|
*Armborst|34|[[:Category:Crossbows]]
*Ryttarfana|33|[[:Category:Heraldic flags]]
*Ringbrynjor|33|[[:Category:Camail (aventail )]]
*Huvudlag|33|[[:Category:Horse equipment]]
*Övriga vapensköldar|32|[[:Category:Coats of arms]]
*Medaljer|32|[[:Category:Medals]]
*Yxor|31|[[:Category:Axes]]
*Övrigt transportutrustning|30|-
*Militära uniformer, svenska|30|[[:Category:Military uniforms of Sweden]]
*Ryttarstandar|29|[[:Category:Heraldic flags]]
*Ordensband|28|[[:Category:Orders of Sweden]]
*Tröjor|27|[[:Category:Shirts]]
*Ytterkläder|26|[[:Category:Coats]]
*Verktyg|26|[[:Category:Tools]]
*Tofflor|26|[[:Category:Footwear]]
*Civila uniformer, svenska|26|[[:Category:Civil uniforms of Sweden]]
*Byxor|25|[[:Category:Trousers]]
*Musköter|24|[[:Category:Muskets]]
*Eldhandvapen|24|[[:Category:Handguns]]
*Tyglar och tömmar|23|[[:Category:Horse equipment]]
*Djurdelar|23|-
*Bröstharnesk|23|[[:Category:Breastplates]]
*Rundsköldar|22|
*Ordenskedjor|22|[[:Category:Orders of Sweden]]
*Nationsflaggor|22|[[:Category:National flags of countries]]
*Axelgehäng|22|[[:Category:Sashes]]
*Krokar och beten|21|[[:Category:Fishing lure]]
*Igenkänningstecken|21|
*Revolvrar|20|
*Livgehäng|20|
*Handväskor|20|[[:Category:Handbags]]
*Armskenor|20|
*Standar|19|[[:Category:Pennants]]
*Ordensdräkter, svenska|19|
*Arkitekturritningar|19|
*Urnor och vaser|18|
*Caper och mantlar|18|
*Övriga vapentillbehör|17|
*Transportutrustning|17|
*Stridshammare|17|
*Religiöst, mytologiskt och allegoriskt måleri|17|
*Handskar till rustningar|17|
*Genremåleri|17|
*Övriga stångvapen|16|
*Skjortor|16|
*Ryggharnesk|16|
*Handskar|16|
*Dopkläder|16|
*Övrig hästutrustning|15|[[:Category:Horse equipment]]
*Strumpor|15|
*Stolar|15|
*Sporrar|15|[[:Category:Horse equipment]]
*Sigill|15|
*Kragar till rustningar|15|
*Karbiner|15|
*Jaktkläder|15|
*Borrar och borrstål|15|
*Övriga fotbeklädnader|14|
*Häststjärna|14|
*Hushåll|14|
*Västar|13|
*Tillbehör till musikinstrument|13|
*Slutna, fyrhjuliga vagnar|13|
*Optiska instrument|13|
*Kanoner|13|
*Begravningsfana|13|
*Banér|13|[[:Category:Banners]]
*Käppar|12|
*Konst och konsthantverk|12|
*Klubbor|12|
*Fotografiporträtt|12|
*Övrigt måleri|11|
*Mössor|11|
*Möbler och inredning|11|
*Axelstycken|11|
*Ammunition|11|
*Märken|10|[[:Category:Orders of Sweden]]
*Gehäng|10|
*Övriga trycksaker|9|
*Övriga standar|9|
*Övriga rustningsdelar|9|
*Övriga dragna och burna transporter|9|
*Övrig fiskeutrustning|9|
*Överdelar|9|[[:Category:Tops (clothing)]]
*Österländska mattor|9|
*Teckningar|9|
*Selar|9|[[:Category:Horse equipment]]
*Ordnar|9|[[:Category:Orders of Sweden]]
*Mejslar|9|
*Hästutrustning|9|[[:Category:Horse equipment]]
*Dukar|9|
*Övriga bågvapen|8|
*Remmar|8|[[:Category:Horse equipment]]
*Personliga vapensköldar|8|
*Pallascher|8|
*Landskapsmåleri|8|
*Övriga överdelar|7|
*Övriga smycken och prydnader|7|
*Övriga hästrustningar|7|[[:Category:Horse equipment]]
*Sågar|7|
*Sängar|7|
*Stilleben|7|
*Spjut|7|
*Slagverk|7|
*Ringar|7|
*Ländskört|7|
*Kyller|7|
*Hammare och släggor|7|
*Fickur|7|
*Bälten|7|
*Vapen|6|
*Flaskor|6|
*Fanor|6|[[:Category:Ensigns]]
*Blåsinstrument|6|
*Yrkeskläder|5|
*Vävda tapeter|5|
*Tänger|5|
*Tredelade kostymer|5|
*Slädar|5|
*Ridkläder|5|
*Rengöringsverktyg|5|
*Pennor|5|
*Militära uniformer, utländska|5|
*Marinmåleri|5|
*Löskragar|5|
*Lådor|5|
*Kruttyg|5|
*Kjolar|5|
*Kavajer och jackor|5|
*Halsband|5|
*Bogpansar|5|
*Övriga ytterkläder|4|
*Övriga toalettartiklar|4|
*Övriga ordnar|4|
*Verktyg och vetenskapliga instrument|4|
*Uppstoppade djur|4|
*Smycken och prydnader|4|[[:Category:Jewellery]]
*Servetter|4|
*Resesängar|4|
*Näsdukar|4|
*Manpansar|4|
*Landskapsfotografier|4|
*Kontorstillbehör|4|[[:Category:Office equipment]]
*Koltar|4|
*Knappar|4|
*Hängsmycken|4|
*Huvudbonader|4|[[:Category:Headgear]]
*Halsdukar|4|
*Grytor, kastruller och stekpannor|4|
*Förvaringskärl|4|
*Dräkt|4|
*Bordsarmaturer|4|
*Bord|4|
*Övriga träarbeten|3|
*Övriga leksaker|3|
*Övriga förvaringskärl|3|
*Övriga blankvapen|3|
*Örngott|3|
*Vantar|3|
*Täcken|3|
*Toalettartiklar|3|[[:Category:Toiletries]]
*Skåp|3|
*Seldon|3|
*Plymer|3|
*Piskor och spön|3|
*Personliga banér|3|
*Nattkläder|3|
*Möbler|3|
*Metspön|3|
*Ländpansar|3|
*Leksaker|3|[[:Category:Toys]]
*Laddstockar|3|
*Jaktutrustning|3|[[:Category:Hunting equipment]]
*Hårprydnader|3|
*Grafik|3|
*Föreningsnålar|3|
*Föremålsritningar|3|
*Fäktning|3|
*Dragna och burna transporter|3|
*Bordsur|3|
*Bestick|3|
*Övriga vetenskapliga instrument|2|
*Övriga underkläder|2|
*Övriga sportkläder|2|
*Övriga rökdon|2|
*Övriga ritningar|2|
*Övriga nederdelar|2|
*Övriga kostymer|2|
*Övriga huvudbonader|2|
*Övrig jaktutrustning|2|
*Väskor|2|[[:Category:Bags]]
*Vetenskapliga instrument|2|[[:Category:Scientific instruments]]
*Vapensköldar|2|[[:Category:Coats of arms]]
*Underkläder|2|[[:Category:Underwear]]
*Tornersköldar|2|
*Sängomhängen|2|
*Speldosor|2|
*Speglar|2|
*Snäckor|2|
*Skridskor|2|
*Religiös litteratur|2|
*Privata brev|2|
*Måleri|2|[[:Category:Paintings]]
*Modeller|2|
*Mineraler|2|
*Medaljband|2|
*Linnen och liv|2|
*Lakan|2|
*Köksredskap|2|[[:Category:Kitchen utensils]]
*Jungfrudräkter|2|
*Jaktbestick|2|
*Instrument och sprutor|2|
*Insignier|2|[[:Category:Insignia]]
*Huvudskydd|2|
*Handdukar|2|
*Guld|2|
