<!--From: kuenstler_1.2.csv -->
''wikipedia-link'' is used for descriptive texts whereas creator is a creator template on commons and ''commoncat'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-". Note that creator is only relevant for artists

===kueId|frequency|name|wikipedia-link|creator|commoncat===
*9534|806|Gustav II Adolf av Sverige (kung, 1594-1632) Stockholms slott, Sverige|[[:sv:Gustav II Adolf]]|-|[[:Category:Gustav II Adolf of Sweden]]
*16905|503|Karl XI av Sverige (kung, 1655-) Stockholms slott, Sverige|[[:sv:Karl XI]]|-|[[:Category:Charles XI of Sweden]]
*16904|449|Karl X Gustav av Sverige (kung, 1622-) Nyköpings hus, Sverige|[[:sv:Karl X Gustav]]|-|[[:Category:Charles X Gustav of Sweden]]
*7140|266|Kristina av Sverige (drottning, 1626-1689) Stockholm, Sverige|[[:sv:Drottning Kristina]]|-|[[:Category:Christina of Sweden]]
*12123|213|Gustaf V av Sverige (Kung, hertig av Värmland, 1858-1950) Drottningholms slott, Sverige|[[:sv:Gustaf V]]|-|[[:Category:Gustav V of Sweden]]
*9536|199|Gustav III av Sverige (kung, 1746-) Stockholm, Sverige|[[:sv:Gustav III]]|-|[[:Category:Gustav III of Sweden]]
*9413|159|Erik XIV av Sverige (kung, 1533-) Stockholms slott, Sverige|[[:sv:Erik XIV]]|-|[[:Category:Eric XIV of Sweden]]
*17033|133|Karl XIV Johan av Sverige-Norge (kung, 1764-) Pau, Frankrike|[[:sv:Karl XIV Joha]]|-|[[:Category:Charles XIV John of Sweden]]
*16906|131|Karl XII av Sverige (kung, 1682-) Stockholms slott, Sverige|[[:sv:Karl XII]]|-|[[:Category:Charles XII of Sweden]]
*17034|124|Karl XV av Sverige-Norge (kung, 1826-) Stockholms slott, Sverige|[[:sv:Karl XV]]|-|[[:Category:Charles XV of Sweden]]
*16107|114|Karl IX av Sverige (kung, 1550-) Stockholms slott, Sverige|[[:sv:Karl IX]]|-|[[:Category:Charles IX of Sweden]]
*32254|112|Carl Gustaf Wrangel (greve, fältmarskalk)|[[:sv:Carl Gustaf Wrangel]]|-|[[:Category:Carl Gustaf Wrangel]]
*11450|105|Gustav IV Adolf av Sverige (kung, 1778-) Stockholms slott, Sverige|[[:sv:Gustav IV Adolf]]|-|[[:Category:Gustaf IV Adolf of Sweden]]
*17032|96|Karl XIII av Sverige(-Norge) (kung, 1748-) Stockholm, Sverige|[[:sv:Karl XIII]]|-|[[:Category:Charles XIII of Sweden]]
