<!--From: Ausstellung_1.1.csv - col: ausOrt-->
Set commonsconnection of irrelevant places to "-"

Multiple entries are separated by ";"
===Place|Frequency|Commonsconnection===
*Skoklosters slott|401|[[Institution:Skoklosters slott]]
*Livrustkammaren, entresol|333|[[Institution:Livrustkammaren]]
*Museiverket;Finlands nationalmuseum|324|[[Institution:National Museum of Finland]]
*Hallwylska museet|315|[[Institution:Hallwylska museet]]
*Livrustkammaren|195|[[Institution:Livrustkammaren]]
*Läckö|136|[[Läckö slott]]
*Livrustkammaren, rum 1-4, entrésolen|111|[[Institution:Livrustkammaren]]
*Kalmar Slott|84|[[Kalmar slott]]
*F-rummet, Livrustkammaren|83|[[Institution:Livrustkammaren]]
*Nationalmuseum|70|[[Institution:Nationalmuseum Stockholm]]
*Nationalmuseum, Stockholm|64|[[Institution:Nationalmuseum Stockholm]]
*F- rummet samt vagnhallen och sadelmontern|45|[[Institution:Livrustkammaren]]
*Läckö Slott|37|[[Läckö slott]]
*Helsingfors|37|{{city{{!}}Helsinki}}
*Skoklosters slott, Antwerpenrundeln, 3D, samt Antwerpen, 3C.|34|[[Institution:Skoklosters slott]]
*Skoklosters slott, i "Barons garderober", sommaren 2006.|32|[[Institution:Skoklosters slott]]
*Kungliga Slottet, Ordenssalarna|27|[[:Category:Royal Palace, Stockholm]]
*Skoklosters slott "Barons garderober"|24|[[Institution:Skoklosters slott]]
*Vänersborgs museum|23|[[Vänersborgs museum]]
*The State Hermitage Museum, S:t Petersburg|21|[[Institution:Hermitage Museum]]
*Musée de l'armée, Paris|21|[[Institution:Musée de l'Armée]]
*Läckö slott|19|[[Läckö slott]]
*Skoklosters slott, Barons garderober|16|[[Institution:Skoklosters slott]]
*Seengen|16|{{city{{!}}Seengen}}
*Övre korridoren|15|-
*Hallwylska Museet|13|[[Institution:Hallwylska museet]]
*Château de Compiègne, Frankrike|12|[[:Category:Château de Compiègne]]
*Tavastehus slott ; Hämeen Linna (54 silverföremål fr Hwy; 12 st fr Sko)|11|[[:Category:Castle of Häme]]
*Tavastehus slott|11|[[:Category:Castle of Häme]]
*Åbo slott|11|[[:Category:Turku Castle]]
*Livrustkammaren Rum B, extra monter|11|[[Institution:Livrustkammaren]]
*Livrustkammaren, Stockholm|11|[[Institution:Livrustkammaren]]
*Prins Eugens Waldemarsudde|11|[[Category:Prins Eugens Waldemarsudde]]
*hallwylska museet|9|[[Institution:Hallwylska museet]]
*Marinmuseum|7|[[:Category:Marinmuseum]]
*Nacka|7|{{city{{!}}Nacka}}
*Vagnhallen Livrustkammaren|7|[[Institution:Livrustkammaren]]
*Château de Versailles|6|[[Institution:Palace of Versailles]]
*Lunds konsthall, Lund|6|-
*Washington|4|{{city{{!}}Washington}}
*Kulturen, Lund; Röhsska konstslöjdmuseet, Göteborg|4|-
*Schloss Gottorf, Tyskland, 2003. Nordiska museet, Stockholm, 2003-2004.|3|-
*Konstindustrimuseet, Helsingfors|3|
*Mjellby konstmuseum, Halmstad (Kulturförvaltningen)|3|
*Musées des Arts Décoratifs;Palais du Louvre, Paris|3|
*Sven-Harrys (konstmuseum), Stockholm|3|
*Medelhavsmuseet|3|
*Konstakademien, Stockholm|2|
*Musik;Teatermuseet, Stockholm|2|
*Österbybruk|2|{{city{{!}}Österbybruk}}
