AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
1|Royal Normal|Livrustkammaren|2012|2012|2012-01-26 00:00:00|2012-04-15 00:00:00|Livrustkammaren|55475;40791;40155;39481;49329;43005;42998;49321;48140;50205;61060;40790;42535;45902;45901;42749;40518;57074;61721;61716;61717;61718;61719;39317;66807;39617;52836;48411;46519;46530;46576;39619;39783;39859;52838;52824
2|Orientaliskongressens utställning||||||Livrustkammaren|60751
4|deposition Skansen Kronan||1894-1998||1894-04-13 00:00:00|1998-09-15 00:00:00|Livrustkammaren|65056;65052;60988;65062;65061;65057;65058;65051;65060;60953;65055;65054;65059;60956;65070;65071;65072;65064;65049;42461;65063;65050;65069;60954;65053;42294;58922;59934;59935
6|Millennium-utställningen||1894||1894-04-13 00:00:00||Livrustkammaren|41608;41607;43882;43883
7|Idrotts- o. turistutställningen i Berlin||1894||1894-04-13 00:00:00||Livrustkammaren|61060;40845;47351;40627;41178;41179;39851;48204;48205;47001;45960;40844;45959;40824;40825;50204;40177;40174;38569;40176;47437;42839;41989;41983;39320;40823;40883;39833;40089;40090;40759;48200;47502;48201;46496;48202;48203;40327;47443;47444;47445;48174
9|Medicinhistoriska utställningen||||||Livrustkammaren|37615
11|Meisterwerke Muhammedanischer Kunst||||||Livrustkammaren|39093;43797;69936;42018;42017;69935;43798;42734;69934
15|Jahrhunderfeier der Freiheitskriege||||||Livrustkammaren|42110;45908;42816;45907
16|"Jahrhunderfeier der Freiheitskriege"||||||Livrustkammaren|42110;42816;45907;45908
17|Äldre kyrklig konst||||||Livrustkammaren|56496
18|Nordiska vapenformer||||||Livrustkammaren|41242;41243;41183;52004;41182;46508;41157;46199;46200;60197;60198;48161;48162;39539;52784;52949;52068;41586;39620;42792;46530;39623;38554;45441;39719;39720;53841;39613;57074;42961;49349;50367;43240;53837;41156;61017;46584;46582;39481;54360;40150;54370;39618;39611;46515;49011;45919;46484;46485;41585;52836;41587;52837;54358;39953;46083;48892;52054;52055;40270;43570;42456;48109;59060;46084;59053;42960;42262;46468;61043;46136;45928;58668;46085;68597;41912;47892;45774;42534;55303;38980;41754;59057;39147;42813;64341;42528;55445;42500;61046;59866;63349;63520;50204;41575;40884;45430;49326;50212;50205;36604;70384;50201;45540;50211;50084;42274;50203;41407;41511;41895;50207;43453;39616;45927;54369;63354;57067;41656;42749;45829;43414;46082;63205;61025;60315;42263;61016;50110;45558;66787;70381;46573;40144;40145;47813;39389;46594;54556;47840;40191;46586;39619;53834;40433;54399;39390;41379;52562;40327;46507;39387;38574;42931;46670;40165;39494;42914;41380;39542;53888;54405;42939;41381;42839;46592;46668;43992;39541;50267;39649;51529;66188;42485;43184;42821;43588;42805;43183;44305;41592;50268;39650;59865;50228;52838;48893;43586;43173;39609;39651;52839;52841;44042;44493;52889;39641;46514;49007;49792;39628;66768;78569;78577;78576;73981;78575;73980;78574;73979;78573;78559;73982;78612;78568;78566;78565;78564;78563;78562;78561;78398;78572;78621;77516;78631;78630;78629;78628;78627;78626;78625;78610;78623;78611;78357;78619;78618;78617;78616;78615;78363;78613;78556;78624;77112;77119;78442;78407;78401;77118;77117;77116;78560;77113;77122;78405;73971;77111;77110;77109;77108;77107;77106;77115;78482;78483;78484;78555;78554;78553;78552;77129;77128;78497;78487;77120;78488;78481;78491;77127;77126;74591;77124;77123;78390;78485;77462;78373;78375;78372;78371;78377;78370;78366;77473;78380;77471;77489;77464;78397;78396;78395;78391;78632;77472;77501;77515;77514;77486;77498;77503;77506;77505;77474;77502;77487;77500;77499;77497;77496;77494;77492;77491;77490;78384;77504;78642;77453;78646;78644;78643;78364;78365;78368;78369;77470;78378;77456;78639;78638;78637;78636;78635;78393;78634;78633;78376;77461;77467;77466;77465;78383;78385;77454;77455;78379;78388;78386;78387;78367;77459;77458;77457;77102;78374;78435;78534;78532;78531;78530;78529;78453;78437;74635;78432;78431;78430;74586;78434;78429;78467;77104;78539;78546;78545;78544;75926;78543;78542;78533;78540;78436;78538;78537;78536;78535;78451;78541;78620;78506;78503;78495;78494;78428;78362;78361;78360;78464;78358;78510;74638;77513;77086;77087;77114;77050;77488;77079;78359;78476;78448;78461;78459;78457;78456;78455;78471;78450;78507;78478;78508;78466;78527;78526;78525;78520;78519;78518;78511;78548;78447;77070;77083;77082;77081;77080;77077;77076;77075;77073;78501;77071;78402;77069;77068;77067;77066;77065;77064;78414;73945;77072;77095;77495;78498;78421;78420;78418;77101;77100;74118;77084;77096;77085;77094;77093;77092;77091;77090;78404;77089;77088;77061;77097;77038;77063;77043;77044;74401;77042;77041;77040;77039;77046;78413;78412;73977;77037;77036;78551;78550;78549;78499;78502;77103;78486;73947;78547;77078;77060;77059;77053;77058;77057;77056;77045;77054;77062;78403;77052;77049;77048;77047;73952;73965;78406;77055;77493;29537;9159
20|Arbetets historia||||||Livrustkammaren|44799;44800;44798;44832;44822;44811;44813;44807;44808;44801;44810;44821;44812;44791;44818;44819;44820;44809
23|Karl XII||||||Livrustkammaren|48761;45418;46497;36685;48421
