ErgId|ErgKurztitelS|ErgArtS|EroObjId
7|Erövringen av Glückstadts fästning||39880
41|Slaget vid Narva|sv:Slaget_vid_Narva|55778;56114;56125;56126;56127;56128;56131;56747;63862;63863;42045;63871;63872;44381;44382;57369;60996;63285;63286;45428;36663;56129;56130;56748;37608;43960;56112;52047;54164;54165;57190;57191;57370;44087;56749;55916;56750;53366;64674;64675
42|Slaget vid Mitau||58649;58650;58651;58652;58653;58654;58658;58659;58660;39860;40896;40897;44491;45775;46554;46555;46556;47090;47091;47700;47698;47701;47702;47703;47704;49304;49305;52801;58655;58656;58657;44492;52799
73|Slaget vid Janicki||44416
88|Krigsbyte Holland||33094
90|Erövringen av Prag||14172;47190;59676;45996;32631;32632;36909
93|Erövringen av Thorn (Torun)||70553;70554;70555;70556;70557;70558;70559;70560;70561;70562;70563;70564;70565;70566;70567;70568;70569;70570;70571;70572;70573;70574;70575;70576;70773;70774;70775;70776;70777;70778;70779;70780;70781;70782;70783;70784;70785;70786;70787;70788;70789;70790;70791;70792;70793;70794;70795;70796;70797;70798;70799;70800;70801;70802;70803;70804;70805;70806;70807;70808;70809;48228
164|Erövringen av Braunsberg (Braniewo)||105478;106862;95361;107201;94130;93636;91356;108996;103016;102999;93061
176|Erövringen av München||64327
190|Erövringen av Warszawa||67575;67576;67577;67578;67579;67580;67649;67650;67651;67652;56956;28089;28385;28034;39146;39545;39626;39627;41602;41603;41604;43645;43737;44115;44323;44331;44332;44335;44336;45170;45171;45770;46269;46270;48174;49570;52108;56957;58954;59777;60007;28384;58856;58857;69088;41674;69089;69090
196|Slaget vid Waterloo|sv:Slaget_vid_Waterloo|45943;45944
225|Slaget vid Fredrikshamn|sv:Slaget_vid_Fredrikshamn|46500;37282;38437
228|Erövringen av Fredriksorts fästning||41547;39879
232|Slaget vid Erzerum||46250
240|Stora oredan<!>"Stora oredan", Moskwa|sv:Stora_oredan|56956;56957
245|Stora nordiska kriget|sv:Stora_nordiska_kriget|68398
250|Slaget vid Lode|sv:Slaget_vid_Lode|56957;58426;43959
261|Träffningen vid Gigelly||44287;39584
