ObmId|ObmObjId|ObmTypMasseS|ObmMasseS|ObjAufId|AufAufgabeS
168700|8188|Höjd|13,5 cm|174|Hallwylska museet
169116|8194|Höjd|13 cm|174|Hallwylska museet
169446|11495|Höjd|7,7 cm|174|Hallwylska museet
169447|11495|Bredd|8 cm|174|Hallwylska museet
169448|11495|Längd|9,3 cm|174|Hallwylska museet
169449|11496|Höjd|2,5 cm|174|Hallwylska museet
169450|11496|Diameter|25,3 cm|174|Hallwylska museet
169451|11497|Diameter|upptill 13,7 cm|174|Hallwylska museet
169886|14103|Bredd|38,5 cm|174|Hallwylska museet
169887|14104|Bredd|51 cm|174|Hallwylska museet
169888|14104|Höjd|63,5 cm|174|Hallwylska museet
169893|13887|Bredd|55 cm|174|Hallwylska museet
169894|13887|Höjd|71 cm|174|Hallwylska museet
169918|14117|Bredd|27,5 cm|174|Hallwylska museet
169919|14117|Höjd|36,5 cm|174|Hallwylska museet
169930|14402|Bredd|ytterskenor 2,5 cm|174|Hallwylska museet
169931|14402|Höjd|överdrag 11 cm|174|Hallwylska museet
169932|14402|Höjd|hopskjuten 17,5 cm|174|Hallwylska museet
169933|14402|Höjd|utdragen 25,3 cm|174|Hallwylska museet
170375|8320|Bredd|30 cm|174|Hallwylska museet
170377|11497|Diameter|nedtill 14,1 cm|174|Hallwylska museet
170381|13463|Höjd|2,8 cm|174|Hallwylska museet
168701|8188|Bredd|13,5 cm|174|Hallwylska museet
168708|8192|Höjd|13,5 cm|174|Hallwylska museet
168709|8192|Bredd|17 cm|174|Hallwylska museet
168735|10916|Bredd|14,8 cm|174|Hallwylska museet
168736|10916|Höjd|35,5 cm|174|Hallwylska museet
205429|11696|Längd|39,9 cm|174|Hallwylska museet
205430|11696|Bredd|26 cm|174|Hallwylska museet
205511|61251|Längd|460 mm|166|Livrustkammaren
205512|61251|Höjd|560 mm|166|Livrustkammaren
205515|61251|Höjd|Frambom 190 mm|166|Livrustkammaren
205516|61251|Höjd|Bakbom 135 mm|166|Livrustkammaren
205584|66063|Längd|460 mm (största)|166|Livrustkammaren
18588|21207|Längd|134 mm|172|Skoklosters slott
18589|21208|Längd|150 mm|172|Skoklosters slott
18618|21228|Diameter|holk 22 mm|172|Skoklosters slott
18619|21228|Längd|236 mm|172|Skoklosters slott
18630|21234|Diameter|75 mm|172|Skoklosters slott
18631|21234|Höjd|142 mm|172|Skoklosters slott
18775|21381|Bredd|62 mm|172|Skoklosters slott
18776|21381|Längd|90 mm|172|Skoklosters slott
18839|21507|Höjd|250 mm|172|Skoklosters slott
18878|21527|Höjd|150 mm|172|Skoklosters slott
18945|21626|Bredd|70 mm|172|Skoklosters slott
18946|21626|Höjd|97 mm|172|Skoklosters slott
18947|21627|Längd|104 mm|172|Skoklosters slott
18953|21630|Längd|420 mm|172|Skoklosters slott
18954|21631|Bredd|170 mm|172|Skoklosters slott
18955|21631|Höjd|120 mm|172|Skoklosters slott
18957|21633|Bredd|30 mm|172|Skoklosters slott
18958|21633|Höjd|37 mm|172|Skoklosters slott
18992|21648|Bredd|35 mm|172|Skoklosters slott
18993|21648|Höjd|45 mm|172|Skoklosters slott
19031|21662|Diameter|19,5 mm|172|Skoklosters slott
19032|21662|Höjd|15,5 mm|172|Skoklosters slott
19180|21715|Höjd|345 mm|172|Skoklosters slott
19229|21737|Bredd|1600 mm|172|Skoklosters slott
19230|21737|Höjd|3110 mm|172|Skoklosters slott
19231|21737|Längd|2080 mm|172|Skoklosters slott
19238|21740|Bredd|290 mm|172|Skoklosters slott
19239|21740|Höjd|450 mm|172|Skoklosters slott
19240|21740|Längd|340 mm|172|Skoklosters slott
19375|21790|Bredd|880 mm|172|Skoklosters slott
19376|21790|Höjd|1090 mm|172|Skoklosters slott
19389|21796|Bredd|1150 mm|172|Skoklosters slott
19390|21796|Höjd|740 mm|172|Skoklosters slott
19466|21825|Höjd|191 mm|172|Skoklosters slott
19467|21825|Längd|123 mm|172|Skoklosters slott
19545|21861|Bredd|1000 mm|172|Skoklosters slott
19546|21861|Höjd|2000 mm|172|Skoklosters slott
19551|21864|Bredd|650 mm|172|Skoklosters slott
19552|21864|Höjd|840 mm|172|Skoklosters slott
19561|21416|Bredd|90 mm|172|Skoklosters slott
19562|21416|Höjd|1145 mm|172|Skoklosters slott
19575|21460|Bredd|630 mm|172|Skoklosters slott
19576|21460|Höjd|740 mm|172|Skoklosters slott
19593|21879|Bredd|180 mm|172|Skoklosters slott
19594|21879|Längd|230 mm|172|Skoklosters slott
19614|21889|Bredd|100 mm|172|Skoklosters slott
19615|21889|Höjd|115 mm|172|Skoklosters slott
19644|21900|Bredd|650 mm|172|Skoklosters slott
19645|21900|Djup|420 mm|172|Skoklosters slott
19646|21900|Höjd|1348 mm|172|Skoklosters slott
19698|21912|Diameter|750 mm|172|Skoklosters slott
19699|21912|Höjd|1150 mm|172|Skoklosters slott
19723|21920|Bredd|380 mm|172|Skoklosters slott
19724|21920|Höjd|445 mm|172|Skoklosters slott
19729|21419|Bredd|850 mm|172|Skoklosters slott
19730|21419|Höjd|1080 mm|172|Skoklosters slott
19731|21420|Bredd|810 mm|172|Skoklosters slott
19732|21420|Höjd|1160 mm|172|Skoklosters slott
19733|21421|Bredd|2630 mm|172|Skoklosters slott
19734|21421|Höjd|2760 mm|172|Skoklosters slott
19735|21923|Bredd|1240 mm|172|Skoklosters slott
19736|21923|Höjd|1500 mm|172|Skoklosters slott
19739|21925|Bredd|1840 mm|172|Skoklosters slott
19740|21925|Höjd|2910 mm|172|Skoklosters slott
19741|21926|Bredd|2770 mm|172|Skoklosters slott
19742|21926|Höjd|2780 mm|172|Skoklosters slott
19846|21469|Bredd|255 mm|172|Skoklosters slott
19847|21469|Höjd|64 mm|172|Skoklosters slott
19848|21469|Längd|338 mm|172|Skoklosters slott
19849|21470|Diameter|255 mm|172|Skoklosters slott
19850|21470|Höjd|95 mm|172|Skoklosters slott
19861|21966|Bredd|300 mm|172|Skoklosters slott
19862|21966|Höjd|176 mm|172|Skoklosters slott
19865|21969|Bredd|205 mm|172|Skoklosters slott
19866|21969|Höjd|235 mm|172|Skoklosters slott
19898|21980|Diameter|115 mm|172|Skoklosters slott
19899|21980|Höjd|375 mm|172|Skoklosters slott
19900|21981|Diameter|100 mm|172|Skoklosters slott
19901|21981|Höjd|290 mm|172|Skoklosters slott
19910|21990|Bredd|3160 mm|172|Skoklosters slott
19911|21990|Höjd|3090 mm|172|Skoklosters slott
19912|21991|Bredd|1780 mm|172|Skoklosters slott
19913|21991|Höjd|2370 mm|172|Skoklosters slott
19914|21992|Höjd|1140 mm|172|Skoklosters slott
19915|21992|Bredd|810 mm|172|Skoklosters slott
19942|22042|Bredd|3940 mm|172|Skoklosters slott
19943|22042|Höjd|3820 mm|172|Skoklosters slott
19946|22044|Bredd|1380 mm|172|Skoklosters slott
19947|22044|Höjd|3160 mm|172|Skoklosters slott
20193|22000|Höjd|1100 mm|172|Skoklosters slott
20194|22000|Bredd|860 mm|172|Skoklosters slott
20204|22004|Bredd|570 mm|172|Skoklosters slott
20205|22004|Djup|500 mm|172|Skoklosters slott
20206|22004|Höjd|1120 mm|172|Skoklosters slott
20236|22164|kaliber|13,7 mm|172|Skoklosters slott
20237|22164|Längd|360 mm|172|Skoklosters slott
20238|22164|Längd|pipa 239 mm|172|Skoklosters slott
20246|22169|Längd|1080 mm|172|Skoklosters slott
20266|22179|Bredd|1430 mm|172|Skoklosters slott
20267|22179|Höjd|2660 mm|172|Skoklosters slott
20268|22179|Längd|2140 mm|172|Skoklosters slott
20341|22213|Diameter|150 mm|172|Skoklosters slott
20342|22214|Bredd|89 mm|172|Skoklosters slott
20343|22214|Längd|220 mm|172|Skoklosters slott
20405|22236|Bredd|910 mm|172|Skoklosters slott
20406|22236|Höjd|1210 mm|172|Skoklosters slott
20473|22270|Diameter|310 mm|172|Skoklosters slott
20474|22270|Höjd|300 mm|172|Skoklosters slott
20475|22270|Höjd|95 mm|172|Skoklosters slott
20486|22276|Bredd|693 mm|172|Skoklosters slott
20487|22276|Längd|1255 mm|172|Skoklosters slott
20488|22277|Bredd|125 mm|172|Skoklosters slott
20489|22277|Längd|600 mm|172|Skoklosters slott
20498|22283|Bredd|1600 mm|172|Skoklosters slott
20499|22283|Höjd|2800 mm|172|Skoklosters slott
20500|22283|Längd|2200 mm|172|Skoklosters slott
20543|22293|Bredd|670 mm|172|Skoklosters slott
20544|22293|Höjd|780 mm|172|Skoklosters slott
20577|22312|Bredd|27 mm|172|Skoklosters slott
20578|22312|Längd|42 mm|172|Skoklosters slott
20579|22313|Bredd|51 mm|172|Skoklosters slott
20580|22313|Längd|87 mm|172|Skoklosters slott
20615|22321|Bredd|780 mm|172|Skoklosters slott
20616|22321|Höjd|920 mm|172|Skoklosters slott
20907|22470|Bredd|810 mm|172|Skoklosters slott
20908|22470|Längd|840 mm|172|Skoklosters slott
20909|22471|Bredd|720 mm|172|Skoklosters slott
20910|22471|Längd|840 mm|172|Skoklosters slott
20911|22472|Bredd|1120 mm|172|Skoklosters slott
20912|22472|Längd|1310 mm|172|Skoklosters slott
21101|22579|Bredd|720 mm|172|Skoklosters slott
21102|22579|Längd|735 mm|172|Skoklosters slott
21103|22580|Bredd|2580 mm|172|Skoklosters slott
21104|22580|Längd|3020 mm|172|Skoklosters slott
21233|22636|Bredd|1700 mm|172|Skoklosters slott
21234|22636|Höjd|3150 mm|172|Skoklosters slott
21235|22636|Längd|2100 mm|172|Skoklosters slott
21293|22657|Bredd|885 mm|172|Skoklosters slott
21294|22657|Höjd|240 mm|172|Skoklosters slott
21295|22657|Längd|1710 mm|172|Skoklosters slott
21344|22682|Bredd|760 mm|172|Skoklosters slott
21345|22682|Höjd|1010 mm|172|Skoklosters slott
21824|22921|Bredd|800 mm|172|Skoklosters slott
21825|22921|Höjd|985 mm|172|Skoklosters slott
21826|22922|Bredd|780 mm|172|Skoklosters slott
21827|22922|Höjd|965 mm|172|Skoklosters slott
21828|22923|Bredd|1040 mm|172|Skoklosters slott
21829|22923|Höjd|1850 mm|172|Skoklosters slott
21830|22924|Bredd|1060 mm|172|Skoklosters slott
21831|22924|Höjd|1860 mm|172|Skoklosters slott
21838|22928|Bredd|790 mm|172|Skoklosters slott
21839|22928|Höjd|860 mm|172|Skoklosters slott
21840|22929|Bredd|650 mm|172|Skoklosters slott
21841|22929|Höjd|795 mm|172|Skoklosters slott
21842|22930|Bredd|830 mm|172|Skoklosters slott
21843|22930|Höjd|1050 mm|172|Skoklosters slott
21844|22931|Bredd|1400 mm|172|Skoklosters slott
21845|22931|Höjd|1140 mm|172|Skoklosters slott
21846|22932|Bredd|550 mm|172|Skoklosters slott
21847|22932|Höjd|680 mm|172|Skoklosters slott
21848|22933|Bredd|650 mm|172|Skoklosters slott
21849|22933|Höjd|800 mm|172|Skoklosters slott
21850|22934|Bredd|800 mm|172|Skoklosters slott
21851|22934|Höjd|1030 mm|172|Skoklosters slott
21854|22936|Bredd|1020 mm|172|Skoklosters slott
21855|22936|Höjd|1230 mm|172|Skoklosters slott
21856|22937|Bredd|1050 mm|172|Skoklosters slott
21857|22937|Höjd|1250 mm|172|Skoklosters slott
21858|22938|Bredd|1090 mm|172|Skoklosters slott
21859|22938|Höjd|1450 mm c|172|Skoklosters slott
21860|22939|Bredd|1030 mm|172|Skoklosters slott
21861|22939|Höjd|1300 mm|172|Skoklosters slott
21862|22940|Bredd|1040 mm|172|Skoklosters slott
21863|22940|Höjd|1270 mm|172|Skoklosters slott
21866|22942|Höjd|635 mm|172|Skoklosters slott
21867|22942|Längd|1560 mm|172|Skoklosters slott
21949|22980|Längd|245 mm|172|Skoklosters slott
21984|22998|Bredd|880 mm|172|Skoklosters slott
21985|22998|Höjd|1070 mm|172|Skoklosters slott
21990|23001|Bredd|590 mm|172|Skoklosters slott
21991|23001|Höjd|730 mm|172|Skoklosters slott
21996|23004|Bredd|285 mm|172|Skoklosters slott
21997|23004|Höjd|407 mm|172|Skoklosters slott
22002|23007|Bredd|745 mm|172|Skoklosters slott
22003|23007|Höjd|540 mm|172|Skoklosters slott
22004|23008|Bredd|724 mm|172|Skoklosters slott
22005|23008|Höjd|515 mm|172|Skoklosters slott
22018|23011|Bredd|525 mm|172|Skoklosters slott
22019|23011|Höjd|650 mm|172|Skoklosters slott
22024|23014|Bredd|890 mm|172|Skoklosters slott
22025|23014|Höjd|1095 mm|172|Skoklosters slott
22026|23015|Bredd|1045 mm|172|Skoklosters slott
22027|23015|Höjd|860 mm|172|Skoklosters slott
22038|21582|Bredd|383 mm|172|Skoklosters slott
22039|21582|Höjd|243 mm|172|Skoklosters slott
22100|23037|Bredd|360 mm|172|Skoklosters slott
22101|23037|Höjd|470 mm|172|Skoklosters slott
22216|23091|Bredd|1270 mm|172|Skoklosters slott
22217|23091|Höjd|1500 mm|172|Skoklosters slott
22248|23107|Bredd|650 mm|172|Skoklosters slott
22249|23107|Höjd|750 mm|172|Skoklosters slott
22432|23185|Bredd|660 mm|172|Skoklosters slott
22433|23185|Höjd|800 mm|172|Skoklosters slott
22452|23239|Höjd|1645 mm|172|Skoklosters slott
22453|23239|Längd|3150 mm|172|Skoklosters slott
22454|23240|Höjd|1631 mm|172|Skoklosters slott
22455|23240|Längd|3450 mm|172|Skoklosters slott
22456|23241|Höjd|1650 mm|172|Skoklosters slott
22457|23241|Längd|3450 mm|172|Skoklosters slott
22533|22390|Diameter|195 mm|172|Skoklosters slott
22534|22390|Höjd|135 mm|172|Skoklosters slott
22535|22390|Längd|245 mm|172|Skoklosters slott
22673|23330|Bredd|1800 mm|172|Skoklosters slott
22674|23330|Höjd|1330 mm|172|Skoklosters slott
22687|23337|Bredd|715 mm|172|Skoklosters slott
22688|23337|Höjd|410 mm|172|Skoklosters slott
22749|23364|Bredd|890 mm|172|Skoklosters slott
22750|23364|Höjd|1040 mm|172|Skoklosters slott
22860|23406|Bredd|990 mm|172|Skoklosters slott
22861|23406|Höjd|1450 mm|172|Skoklosters slott
23044|23497|Bredd|900 mm|172|Skoklosters slott
23045|23497|Höjd|1090 mm|172|Skoklosters slott
23065|23507|Bredd|1200 mm|172|Skoklosters slott
23066|23507|Höjd|2070 mm|172|Skoklosters slott
23075|23512|Bredd|2220 mm|172|Skoklosters slott
23076|23512|Höjd|2005 mm|172|Skoklosters slott
23077|23513|Bredd|1240 mm|172|Skoklosters slott
23078|23513|Höjd|2020 mm|172|Skoklosters slott
23081|23515|Bredd|1220 mm|172|Skoklosters slott
23082|23515|Höjd|2000 mm|172|Skoklosters slott
23083|23516|Bredd|1195 mm|172|Skoklosters slott
23084|23516|Höjd|1970 mm|172|Skoklosters slott
23087|23518|Bredd|1240 mm|172|Skoklosters slott
23088|23518|Höjd|2015 mm|172|Skoklosters slott
23091|23520|Bredd|1140 mm|172|Skoklosters slott
