OmuId|OmuObjId|OmuTypS|OmuBemerkungM|OmuInhalt01M|ObjInventarNrS|ObjAufId|AufAufgabeS
1435|133|Tillverkningsort||Stockholm|IV:I:C.02.|174|Hallwylska museet
1440|133|Tillverkningsland||Sverige|IV:I:C.02.|174|Hallwylska museet
1477|138|Tillverkningsland||Sverige|S.LXIV:I:L.a.f.c.01.|174|Hallwylska museet
1819|254|Tillverkningsland||Sverige|VI:IV:C.a.02.|174|Hallwylska museet
19296|2327|Tillverkningsort||Stockholm|LXIV:I:Q.a.18.|174|Hallwylska museet
19302|2327|Tillverkningsland||Sverige|LXIV:I:Q.a.18.|174|Hallwylska museet
26372|3161|Tillverkningsort||Rörswil|LXIV:I:I.b.g.02.|174|Hallwylska museet
26377|3161|Tillverkningsland||Schweiz|LXIV:I:I.b.g.02.|174|Hallwylska museet
28798|3434|Tillverkningsort||Stockholm|LXIV:I:L.a.a.a.24.|174|Hallwylska museet
28803|3434|Tillverkningsland||Sverige|LXIV:I:L.a.a.a.24.|174|Hallwylska museet
28906|3446|Tillverkningsort||Stockholm|LXIV:I:L.a.a.a.32.|174|Hallwylska museet
28911|3446|Tillverkningsland||Sverige|LXIV:I:L.a.a.a.32.|174|Hallwylska museet
28915|3447|Tillverkningsort||Stockholm|LXIV:I:L.a.a.a.21.|174|Hallwylska museet
28920|3447|Tillverkningsland||Sverige|LXIV:I:L.a.a.a.21.|174|Hallwylska museet
29862|3553|Tillverkningsort||Stockholm|LXIV:I:L.a.b.30.|174|Hallwylska museet
29867|3553|Tillverkningsland||Sverige|LXIV:I:L.a.b.30.|174|Hallwylska museet
30546|3665|Tillverkningsort||Stockholm|LXIV:I:L.a.b.63.|174|Hallwylska museet
30551|3665|Tillverkningsland||Sverige|LXIV:I:L.a.b.63.|174|Hallwylska museet
32141|3641|Tillverkningsort||London|LXIV:I:L.a.a.f.01.|174|Hallwylska museet
32147|3641|Tillverkningsland||England|LXIV:I:L.a.a.f.01.|174|Hallwylska museet
32303|3663|Tillverkningsort||Stockholm|LXIV:I:L.a.b.10.|174|Hallwylska museet
32308|3663|Tillverkningsland||Sverige|LXIV:I:L.a.b.10.|174|Hallwylska museet
33120|3911|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.04.|174|Hallwylska museet
33144|3914|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.07.|174|Hallwylska museet
33152|3915|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.09.|174|Hallwylska museet
33160|3916|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.10.|174|Hallwylska museet
33165|3916|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.10.|174|Hallwylska museet
33169|3917|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.11.|174|Hallwylska museet
33174|3917|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.11.|174|Hallwylska museet
34673|4087|Tillverkningsort||Stockholm|LXIV:I:F.a.01.|174|Hallwylska museet
34678|4087|Tillverkningsland||Sverige|LXIV:I:F.a.01.|174|Hallwylska museet
34727|4093|Tillverkningsort||Bern|LXIV:I:L.a.f.b.25.|174|Hallwylska museet
34732|4093|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.25.|174|Hallwylska museet
34736|4094|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.30.|174|Hallwylska museet
34741|4094|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.30.|174|Hallwylska museet
34799|4101|Tillverkningsort||Bern|LXIV:I:L.a.f.b.26.|174|Hallwylska museet
34804|4101|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.26.|174|Hallwylska museet
34853|4107|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.29.|174|Hallwylska museet
34858|4107|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.29.|174|Hallwylska museet
34880|4110|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.17.|174|Hallwylska museet
34885|4110|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.17.|174|Hallwylska museet
34961|4119|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.05.|174|Hallwylska museet
34966|4119|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.05.|174|Hallwylska museet
35015|4125|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.14.a.|174|Hallwylska museet
35020|4125|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.14.a.|174|Hallwylska museet
35069|4131|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.07.|174|Hallwylska museet
35075|4131|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.07.|174|Hallwylska museet
35473|4174|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.89.|174|Hallwylska museet
35479|4174|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.89.|174|Hallwylska museet
35492|4176|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.06.|174|Hallwylska museet
35497|4176|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.06.|174|Hallwylska museet
35717|4201|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.47.|174|Hallwylska museet
35722|4201|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.47.|174|Hallwylska museet
35744|4204|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.13.|174|Hallwylska museet
35749|4204|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.13.|174|Hallwylska museet
35761|4206|Tillverkningsland||Schweiz|LXIV:I:L.a.f.b.02.|174|Hallwylska museet
35915|4222|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.130.|174|Hallwylska museet
35921|4222|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.130.|174|Hallwylska museet
36158|4248|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.124.|174|Hallwylska museet
36164|4248|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.124.|174|Hallwylska museet
36196|4252|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.54.|174|Hallwylska museet
36202|4252|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.54.|174|Hallwylska museet
36233|4256|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.51.|174|Hallwylska museet
36238|4256|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.51.|174|Hallwylska museet
36307|4264|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.48.|174|Hallwylska museet
36312|4264|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.48.|174|Hallwylska museet
36316|4265|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.49.|174|Hallwylska museet
36321|4265|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.49.|174|Hallwylska museet
36380|4272|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.08.|174|Hallwylska museet
36385|4272|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.08.|174|Hallwylska museet
36398|4274|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.37.|174|Hallwylska museet
36404|4274|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.37.|174|Hallwylska museet
36462|4281|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.103.|174|Hallwylska museet
36467|4281|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.103.|174|Hallwylska museet
36625|4299|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.40.|174|Hallwylska museet
36630|4299|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.40.|174|Hallwylska museet
36706|4308|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.16.|174|Hallwylska museet
36711|4308|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.16.|174|Hallwylska museet
36724|4310|Tillverkningsort||Stockholm|LXIV:I:L.a.f.a.41.|174|Hallwylska museet
36729|4310|Tillverkningsland||Sverige|LXIV:I:L.a.f.a.41.|174|Hallwylska museet
38940|4616|Tillverkningsort||Stockholm|LXIV:I:O.e.a.17.|174|Hallwylska museet
38945|4616|Tillverkningsland||Sverige|LXIV:I:O.e.a.17.|174|Hallwylska museet
40372|4740|Tillverkningsort||Stockholm|LXIV:I:L.a.a.a.36.|174|Hallwylska museet
40377|4740|Tillverkningsland||Sverige|LXIV:I:L.a.a.a.36.|174|Hallwylska museet
40813|4792|Tillverkningsland||Sverige|S.LXIV:I:L.a.f.b.224.|174|Hallwylska museet
40944|4808|Tillverkningsort||Berlin|S.LXIV:I:L.a.f.b.217.|174|Hallwylska museet
40949|4808|Tillverkningsland||Tyskland|S.LXIV:I:L.a.f.b.217.|174|Hallwylska museet
40953|4809|Tillverkningsland||Sverige|S.LXIV:I:L.a.f.b.216.|174|Hallwylska museet
40993|4814|Tillverkningsland||Sverige|S.LXIV:I:L.a.f.b.214.|174|Hallwylska museet
41011|4816|Tillverkningsland||Sverige, synkroniseringstest|S.LXIV:I:L.a.f.b.228.|174|Hallwylska museet
46224|5429|Tillverkningsort||Stockholm|LXIV:I:L.a.l.03.|174|Hallwylska museet
46229|5429|Tillverkningsland||Sverige|LXIV:I:L.a.l.03.|174|Hallwylska museet
47002|5576|Tillverkningsort||Berlin|LXIV:I:L.a.f.b.72.|174|Hallwylska museet
47008|5576|Tillverkningsland||Tyskland|LXIV:I:L.a.f.b.72.|174|Hallwylska museet
47063|5599|Tillverkningsort||Stockholm|LXIV:I:B.c.|174|Hallwylska museet
47068|5599|Tillverkningsland||Sverige|LXIV:I:B.c.|174|Hallwylska museet
47925|5492|Tillverkningsort||Stockholm|LXIV:I:L.a.i.02.|174|Hallwylska museet
47930|5492|Tillverkningsland||Sverige|LXIV:I:L.a.i.02.|174|Hallwylska museet
47953|5495|Tillverkningsort||London|LXIV:I:B.a.|174|Hallwylska museet
47958|5495|Tillverkningsland||England|LXIV:I:B.a.|174|Hallwylska museet
48428|5591|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.79.|174|Hallwylska museet
48433|5591|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.79.|174|Hallwylska museet
48860|5745|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.84.|174|Hallwylska museet
48865|5745|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.84.|174|Hallwylska museet
48878|5747|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.77.|174|Hallwylska museet
48883|5747|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.77.|174|Hallwylska museet
48978|5759|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.114.|174|Hallwylska museet
49027|5765|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.128.|174|Hallwylska museet
49495|5816|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.130.|174|Hallwylska museet
49522|5819|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.126.|174|Hallwylska museet
49571|5824|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.129.|174|Hallwylska museet
49629|5830|Tillverkningsort||Wegeholm|LXIV:I:L.a.f.b.157.|174|Hallwylska museet
49635|5830|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.157.|174|Hallwylska museet
49639|5831|Tillverkningsort||Überlingen|LXIV:I:L.a.f.b.143.|174|Hallwylska museet
49645|5831|Tillverkningsland||Tyskland|LXIV:I:L.a.f.b.143.|174|Hallwylska museet
49718|5839|Tillverkningsort||Hildesborg|LXIV:I:L.a.f.b.112.|174|Hallwylska museet
49724|5839|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.112.|174|Hallwylska museet
49914|5859|Tillverkningsland||Ryssland|LXIV:I:L.a.f.b.154.|174|Hallwylska museet
50060|5874|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.127.|174|Hallwylska museet
50135|5883|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.71.|174|Hallwylska museet
50140|5883|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.71.|174|Hallwylska museet
50144|5884|Tillverkningsort||Stockholm|LXIV:I:L.a.f.b.66.|174|Hallwylska museet
50149|5884|Tillverkningsland||Sverige|LXIV:I:L.a.f.b.66.|174|Hallwylska museet
54068|6368|Tillverkningsort||Stockholm|IV:I:C.01.|174|Hallwylska museet
54073|6368|Tillverkningsland||Sverige|IV:I:C.01.|174|Hallwylska museet
55347|6453|Tillverkningsland||Tyskland|XIII:II:I.b.01.|174|Hallwylska museet
66137|7490|Tillverkningsort||Berlin|XXI:I:C.a.01.|174|Hallwylska museet
66142|7490|Tillverkningsland||Tyskland|XXI:I:C.a.01.|174|Hallwylska museet
66196|7497|Tillverkningsland||Sverige|S.XXIII:III:A.01.|174|Hallwylska museet
66204|7498|Tillverkningsland||Sverige|S.XXIII:III:A.15./a|174|Hallwylska museet
66263|7988|Tillverkningsort||Stockholm|IV:I:A.02.|174|Hallwylska museet
66268|7988|Tillverkningsland||Sverige|IV:I:A.02.|174|Hallwylska museet
67163|7937|Tillverkningsort||Stockholm|S.XXIII:V:A.03.|174|Hallwylska museet
67168|7937|Tillverkningsland||Sverige|S.XXIII:V:A.03.|174|Hallwylska museet
67172|7938|Tillverkningsort||Stockholm; Berlin|IV:I:A.01.|174|Hallwylska museet
67177|7938|Tillverkningsland||Sverige, Tyskland|IV:I:A.01.|174|Hallwylska museet
67626|7465|Tillverkningsort||Stockholm|XXI:I:A.11.|174|Hallwylska museet
67631|7465|Tillverkningsland||Sverige|XXI:I:A.11.|174|Hallwylska museet
67822|8052|Tillverkningsort||Stockholm|XXI:I:C.a.02.|174|Hallwylska museet
67828|8052|Tillverkningsland||Sverige|XXI:I:C.a.02.|174|Hallwylska museet
67866|8367|Tillverkningsland||Sverige|S.XXIII:III:E.12./a-c|174|Hallwylska museet
68062|8075|Tillverkningsland||Sverige|S.XXIII:III:A.12.|174|Hallwylska museet
68524|8132|Tillverkningsland||Sverige|S.XXIII:III:A.17.|174|Hallwylska museet
68542|8134|Tillverkningsland||Sverige|S.XXIII:III:A.08.|174|Hallwylska museet
68558|8136|Tillverkningsort||Paris|S.XXIII:III:A.02.|174|Hallwylska museet
68563|8136|Tillverkningsland||Frankrike|S.XXIII:III:A.02.|174|Hallwylska museet
68648|8147|Tillverkningsort||Stockholm|XXI:I:A.04.|174|Hallwylska museet
68653|8147|Tillverkningsland||Sverige|XXI:I:A.04.|174|Hallwylska museet
69027|8192|Tillverkningsland||Sverige|S.XXIII:III:K.24.|174|Hallwylska museet
69043|8194|Tillverkningsland||Sverige|S.XXIII:III:K.12.|174|Hallwylska museet
69804|8246|Tillverkningsort||Stockholm|XXI:I:A.03.|174|Hallwylska museet
69810|8246|Tillverkningsland||Sverige|XXI:I:A.03.|174|Hallwylska museet
69823|8248|Tillverkningsort||Stockholm|XXI:I:A.09.|174|Hallwylska museet
69828|8248|Tillverkningsland||Sverige|XXI:I:A.09.|174|Hallwylska museet
69832|8249|Tillverkningsort||Stockholm|XXI:I:A.08.|174|Hallwylska museet
69837|8249|Tillverkningsland||Sverige|XXI:I:A.08.|174|Hallwylska museet
69841|8250|Tillverkningsort||Stockholm|XXI:I:A.06.|174|Hallwylska museet
69846|8250|Tillverkningsland||Sverige|XXI:I:A.06.|174|Hallwylska museet
69850|8251|Tillverkningsort||Stockholm|XXI:I:A.02.|174|Hallwylska museet
69856|8251|Tillverkningsland||Sverige|XXI:I:A.02.|174|Hallwylska museet
70089|8280|Tillverkningsland||Sverige|S.XXIII:III:A.14.|174|Hallwylska museet
70570|8301|Tillverkningsort||Berlin|XXI:I:A.01.|174|Hallwylska museet
70575|8301|Tillverkningsland||Tyskland|XXI:I:A.01.|174|Hallwylska museet
70710|8318|Tillverkningsland||Sverige|S.XXIII:III:E.05./a|174|Hallwylska museet
71170|8397|Tillverkningsort||Dayton, Ohio|III:I:G.e.01.|174|Hallwylska museet
71175|8397|Tillverkningsland||USA|III:I:G.e.01.|174|Hallwylska museet
74238|8453|Tillverkningsland||Sverige|S.LXIII:I:I.d.48.|174|Hallwylska museet
74326|8464|Tillverkningsort||Stockholm|III:I:C.jj.02.|174|Hallwylska museet
74331|8464|Tillverkningsland||Sverige|III:I:C.jj.02.|174|Hallwylska museet
74437|8775|Tillverkningsland||Tyskland|III:I:E.c.01.|174|Hallwylska museet
79451|9430|Tillverkningsland||Italien|LXVI:B.05.|174|Hallwylska museet
79475|9447|Tillverkningsland||Italien|LXVI:B.09.|174|Hallwylska museet
79500|9450|Tillverkningsland||Italien|LXVI:B.12.|174|Hallwylska museet
85501|10371|Tillverkningsort||Stockholm|LXIV:III.B.b.e.20.|174|Hallwylska museet
85506|10371|Tillverkningsland||Sverige|LXIV:III.B.b.e.20.|174|Hallwylska museet
85796|10407|Tillverkningsort||Stockholm|LXIV:III:B.b.e.42.|174|Hallwylska museet
85801|10407|Tillverkningsland||Sverige|LXIV:III:B.b.e.42.|174|Hallwylska museet
85921|10422|Tillverkningsort||Stockholm|LXIV:III:B.b.e.33.|174|Hallwylska museet
85926|10422|Tillverkningsland||Sverige|LXIV:III:B.b.e.33.|174|Hallwylska museet
87173|10439|Tillverkningsort||Stockholm|LXIV:III:B.b.e.01.|174|Hallwylska museet
