PstId|PhoId|StiBezeichnungS|StiSynonymS
9|87838|Pressbilder|Marknadsföring
10|87275|Interiör|Interiörer
11|87275|Ofullbordade salen|Interiör
15|90043|Marknadsföring|Bild använd i marknadsföring
18|90043|Flagga|Flaggor
20|90043|Utställningar|
21|90043|Vackert vikt|Utställningar
22|90043|Hallwylska museet|Plats bilden kommer ifrån
23|90044|Marknadsföring|Bild använd i marknadsföring
24|90044|Utställningar|
25|90044|Vackert vikt|Utställningar
27|90044|Hallwylska museet|Plats bilden kommer ifrån
28|90045|Pressbilder|Marknadsföring
29|90045|Marknadsföring|Bild använd i marknadsföring
30|90045|Utställningar|
31|90045|Vackert vikt|Utställningar
32|90045|Hallwylska museet|Plats bilden kommer ifrån
33|90045|Stora salongen|Rum Interiörer
34|90045|Joan Sallas|
35|90046|Pressbilder|Marknadsföring
36|90046|Marknadsföring|Bild använd i marknadsföring
37|90046|Utställningar|
38|90046|Vackert vikt|Utställningar
39|90046|Joan Sallas|
40|90046|Hallwylska museet|Plats bilden kommer ifrån
41|90046|Stora salongen|Rum Interiörer
42|90047|Marknadsföring|Bild använd i marknadsföring
43|90047|Pressbilder|Marknadsföring
44|90047|Utställningar|
45|90047|Vackert vikt|Utställningar
46|90047|Joan Sallas|
47|90047|Hallwylska museet|Plats bilden kommer ifrån
48|90048|Marknadsföring|Bild använd i marknadsföring
49|90048|Pressbilder|Marknadsföring
50|90048|Utställningar|
51|90048|Vackert vikt|Utställningar
52|90048|Joan Sallas|
53|90048|Hallwylska museet|Plats bilden kommer ifrån
54|90049|Marknadsföring|Bild använd i marknadsföring
55|90049|Pressbilder|Marknadsföring
56|90049|Utställningar|
57|90049|Vackert vikt|Utställningar
58|90049|Joan Sallas|
59|90049|Hallwylska museet|Plats bilden kommer ifrån
60|90049|Porslinsrummet|Interiör
61|90050|Marknadsföring|Bild använd i marknadsföring
62|90050|Pressbilder|Marknadsföring
63|90050|Utställningar|
64|90050|Vackert vikt|Utställningar
65|90050|Joan Sallas|
66|90050|Hallwylska museet|Plats bilden kommer ifrån
67|90051|Marknadsföring|Bild använd i marknadsföring
68|90051|Pressbilder|Marknadsföring
69|90051|Utställningar|
70|90051|Vackert vikt|Utställningar
71|90051|Joan Sallas|
72|90051|Hallwylska museet|Plats bilden kommer ifrån
73|90052|Marknadsföring|Bild använd i marknadsföring
74|90052|Pressbilder|Marknadsföring
75|90052|Utställningar|
76|90052|Vackert vikt|Utställningar
77|90052|Joan Sallas|
78|90052|Hallwylska museet|Plats bilden kommer ifrån
79|90053|Marknadsföring|Bild använd i marknadsföring
80|90053|Pressbilder|Marknadsföring
81|90053|Utställningar|
82|90053|Vackert vikt|Utställningar
83|90053|Joan Sallas|
84|90053|Hallwylska museet|Plats bilden kommer ifrån
91|90120|Marknadsföring|Bild använd i marknadsföring
92|90120|Publikation|Publikationer
94|90120|Hallwylska museet|Plats bilden kommer ifrån
96|90120|Omslag|
143|90361|Föremålsbild|
144|90361|Fajans|
145|90361|Tallrik|Tallrikar Fat
146|90361|Hallwylska museet|Plats bilden kommer ifrån
147|90364|Föremålsbild|
148|90364|Fajans|
149|90364|Tallrik|Tallrikar Fat
150|90364|Baksida|Baksidor
151|90364|Hallwylska museet|Plats bilden kommer ifrån
152|90366|Föremålsbild|
153|90366|Tallrik|Tallrikar Fat
154|90366|Fajans|
155|90366|Hallwylska museet|Plats bilden kommer ifrån
156|90367|Föremålsbild|
157|90367|Fajans|
158|90367|Tallrik|Tallrikar Fat
159|90367|Fat|Tallrikar
161|90367|Baksida|Baksidor
162|90367|Hallwylska museet|Plats bilden kommer ifrån
163|90368|Föremålsbild|
164|90368|Fajans|
165|90368|Tallrik|Tallrikar Fat
166|90368|Fat|Tallrikar
168|90368|Hallwylska museet|Plats bilden kommer ifrån
169|90369|Föremålsbild|
170|90369|Fajans|
171|90369|Tallrik|Tallrikar Fat
172|90369|Fat|Tallrikar
173|90369|Baksida|Baksidor
174|90369|Hallwylska museet|Plats bilden kommer ifrån
175|90370|Föremålsbild|
176|90370|Fajans|
177|90370|Tallrik|Tallrikar Fat
178|90370|Fat|Tallrikar
180|90370|Hallwylska museet|Plats bilden kommer ifrån
181|90371|Föremålsbild|
182|90371|Fajans|
183|90371|Fat|Tallrikar
184|90371|Tallrik|Tallrikar Fat
185|90371|Baksida|Baksidor
187|90371|Hallwylska museet|Plats bilden kommer ifrån
188|90373|Föremålsbild|
189|90373|Fajans|
190|90373|Fat|Tallrikar
191|90373|Tallrik|Tallrikar Fat
192|90373|Diana|
193|90373|Nymfer|Mytologi
194|90373|Hallwylska museet|Plats bilden kommer ifrån
195|90374|Föremålsbild|
196|90374|Fajans|
197|90374|Fat|Tallrikar
198|90374|Tallrik|Tallrikar Fat
199|90374|Diana|
200|90374|Nymfer|Mytologi
201|90374|Hallwylska museet|Plats bilden kommer ifrån
202|90375|Föremålsbild|
203|90375|Fajans|
204|90375|Apoteksburk|Apoteksburkar
205|90375|Urna|Urnor
207|90375|Hallwylska museet|Plats bilden kommer ifrån
208|90376|Föremålsbild|
209|90376|Fajans|
210|90376|Apoteksburk|Apoteksburkar
211|90376|Urna|Urnor
213|90376|Hallwylska museet|Plats bilden kommer ifrån
214|90377|Föremålsbild|
215|90377|Fajans|
216|90377|Apoteksburk|Apoteksburkar
217|90377|Urna|Urnor
219|90377|Hallwylska museet|Plats bilden kommer ifrån
220|90378|Föremålsbild|
221|90378|Fajans|
222|90378|Apotekskanna|Apotekskannor
223|90378|Kanna|Kannor
225|90378|Hallwylska museet|Plats bilden kommer ifrån
226|90379|Föremålsbild|
227|90379|Fajans|
228|90379|Apotekskruka|Apotekskrukor
229|90379|Urna|Urnor
231|90379|Hallwylska museet|Plats bilden kommer ifrån
233|90380|Föremålsbild|
234|90380|Fajans|
235|90380|Fat|Tallrikar
236|90380|Tallrik|Tallrikar Fat
237|90380|Hallwylska museet|Plats bilden kommer ifrån
239|90381|Föremålsbild|
240|90381|Fajans|
241|90381|Fat|Tallrikar
242|90381|Tallrik|Tallrikar Fat
243|90381|Hallwylska museet|Plats bilden kommer ifrån
244|90382|Föremålsbild|
245|90382|Fajans|
247|90382|Fat|Tallrikar
248|90382|Tallrik|Tallrikar Fat
249|90382|Hallwylska museet|Plats bilden kommer ifrån
250|90383|Föremålsbild|
251|90383|Fajans|
252|90383|Fat|Tallrikar
253|90383|Tallrik|Tallrikar Fat
254|90383|Hallwylska museet|Plats bilden kommer ifrån
255|90384|Föremålsbild|
256|90384|Fajans|
257|90384|Fat|Tallrikar
258|90384|Tallrik|Tallrikar Fat
259|90384|Hallwylska museet|Plats bilden kommer ifrån
260|90385|Föremålsbild|
261|90385|Fajans|
262|90385|Fat|Tallrikar
263|90385|Tallrik|Tallrikar Fat
264|90385|Hallwylska museet|Plats bilden kommer ifrån
265|90386|Föremålsbild|
266|90386|Fajans|
267|90386|Kanna|Kannor
268|90386|Hallwylska museet|Plats bilden kommer ifrån
269|90387|Föremålsbild|
270|90387|Fajans|
271|90387|Kopp|Koppar
272|90387|Fat|Tallrikar
273|90387|Hallwylska museet|Plats bilden kommer ifrån
274|90388|Föremålsbild|
275|90388|Fajans|
276|90388|Kopp|Koppar
277|90388|Fat|Tallrikar
278|90388|Hallwylska museet|Plats bilden kommer ifrån
279|90389|Föremålsbild|
280|90389|Fajans|
281|90389|Teburk|Teburkar
282|90389|Hallwylska museet|Plats bilden kommer ifrån
