KueId|KueVorNameS|KueNameS|KudDatierungS|KudJahrVonL|KudJahrBisL|KudOrtS|KudLandS|KueFunktionS|ObjId
7|Heinrich|Aldegrever||||||konstnär, gravör|49934
15||Aldrovande|||||||48369
90|G|Alyhr|||||||57290;69795
114|Johan Fredrik|Aminoff||||||Friherre|65742
134||Amundsen||||||Major|47506
146||Abbas den store av Persien||||||Shah|43656
147||Abbas I||||||Shah av Persien|47190
164||Abd-ul-Hamid|*22.9.1842|1842||||sultan|40351
191||Abrahamsson||||||Direktör|52771
214||Adalbert av Bayern||||||prins|47619
217|Jacques|Adam||||||bössmed|41196
247|Isaac|Adelbert||||||köpman|42204
249|Louise Natalia|Adelborg|1810 - 1885|1810|1885|Stockholm|Sverige|Konstnär|13464;13370
271|Carl Johan|Adlercreutz||||||greve, general|38862;38506;42816;46133;46132;37117;41946;24752
276|Georg|Adlersparre||||||Statsråd|46495
313|Pieter|Aertsen|1508 - 1575|1508|1575|Amsterdam|Holland|Konstnär|14172
316||Adolf Fredrik av Sverige|*14.5.1710|1710||Schloss Gottorp|Tyskland|kung|53278;53377;53350;53277;53405;53628;67844;53523;53403;53620;53440;53788;53789;46063;42950;41912;42094;62619;64090;41895;38863;42906;56135;53360;53416;41963;53413;57993;53453;53451;39523;53298;39313;52021;47087;50110;67906
365||Ahasverus|||||||39181
376|Lea|Ahlborn||||||konstnär, gravör|36595;38318;38320
407|Axel|Ahrenfeldt|||||||33096;22042
414||August III av Polen-Sachsen||||||kung, kurfurste|43808;41866
417||Ahmed III||||||sultan|39874
468||Albrecht V av Bayern||||||hertig|41478
503||Alexej Michajlovitj|*19.3.1629|1629||Moskwa|Ryssland|tsar|42734
505||Alexej Petrovitj||||||tsarevitj|39483
507||Alexander II av Ryssland||||||tsar|41044
508||Alexander I av Ryssland||||||tsar|58082
517|Alessandro|Algardi||||||skulptör|16477
540|D R F|Antommarchi||||||doktor|45185
599||Arana||||||Låssmed|52879;47684
606||Ali ibn Abi Talib||||||imam|42364
625|John I|Alison||||||pistolsmed|40941
685||Almgren|||||||53806
689|Andreas|Almgren||||||hovjuvelerare|69294
704|Arent|Arentz "Cabel"|1585 - 1635|1585|1635|Amsterdam|Nederland|Konstnär|14166
730|John|Atkins jr||||||köpman|42204
750|Jakob Johan|Anckarström||||||kapten|57092;42126;55142;55139
765|J W|Andersson||||||Konstnär, gravör|36835
767|N|Andersson||||||Kammarfru|46827;46805;64109
793|C. Th|Andersson||||||Antikhandlare|43875
849|Barthel|Bauer||||||Bössmed|39609
870|Viktor Natanael|Baumbach||||||apotekare|47282;40935
1062|Ebba (Charlotta)|Ankarcrona f. Bielke|30.5.1828 - 31.1.1911|1828|1911|Tureholm|Sverige|Grevinna|54522
1068||Anna av Sverige|*1568|1568||Eskilstuna kungsgård|Sverige|prinsessa|36460
1069||Anna Jagellonica av Polen||||||drottning|62710
1070||Anna av Pommern||||||hertiginna|45532
1072||Anna av Danmark||||||prinsessa|53661
1085|Otto|Annerstedt||||||herr|40827
1139|Axel Gustaf von|Arbin|1784* - 1856+|1784|1856|||Generalmajor|38824
1149|Guiseppe|Arcimboldo (Archimboldo)|1526 - 1593|1526|1593|Milano|Italien|konstnär|32632;32631
1232|Cesare|Baldassari||||||Antikhandlare|11522;11501
1262|Olof (Olav, Oluff)|Berggren||||||pistolsmed|49964
1263|Gideon|Berggren||||||hemmansägare|49356
1288||Arif||||||bågmakare|44345
1338|Adolf|Arnberg||||||skulptör|17574
1340||Arndt||||||guldsmed|37013
1365|M|Aronowitsch||||||herr|39314
1369||Arpi||||||herr|49293
1423|Jakob|Ascher||||||Löjtnant|53620
1440|Jeremiah|Ashley||||||guldsmed, bössmed|47282
1452|S|Askelöf||||||Skomakare|63277
1464||Asp||||||Klädsömmerska|8148;7940;8289
1542||August, hertig av Dalarna|*24.8.1831|1831||Drottningholms slott|Sverige|prins|36660;36659;42324;36886;37476;36901;37470;37472;36658;64074;37506;37959;37961;37508;47921;37478
1543||August Fredrik av Holstein-Gottorp||||||Furstbiskop|39523
1544||August d.y. av Braunschweig-Wolffenbüttel||||||hertig|45532
1547||August I||||||kurfurste|53661
1573||Battensprung||||||Löjtnant|45470
1607|Carl Johan|Bergman|8.7.1817 - 22.1.1895|1817|1895|Visby|Sverige|Lektor, riksdagsman|46374;51998;44271
1629|Dan|Bergman||||||bagarmästare|17135
1647||Augusta Amalia av Bayern||||||prinsessa|42239
1652|Antoine d'|Aumont||||||hertig|24476;24474;24475;24472;24471
1692||Alfonso XIII av Spanien||||||kung|43626
1778|Robert Wilhelm|Baeckborg||||||kommendör|36668
1781|Carolina C G|Baeckström||||||fru|37501
1800|Nanna|Bagge||||||sömmerska|8259
1825|Johann|Balthasar||||||bössmed|53244
1831|Friedrich|Baltzar||||||Konstnär|64783
1865|Eskil Isaksson|Banér||||||riksråd|39831
1866|Gustaf Persson|Banér||||||friherre|47437;50205
1955|Philip van der|Baren||||||konstnär|23007
1989||Barnekow||||||Löjtnant|45470
1991|Fredric|Barnes||||||knivsmed, bössmed?|41515
2030|Pierre|Barroy (Baroie)||||||pistolsmed|55148
2031|David|Bars||||||hovbössmed|47760;40162;48896;54356;42928;40433
2073|Manuel|Bascaran||||||pipsmed|46579
2138|Eugène de|Beauharnais||||||hertig av Leuchtenberg|42235;42239
2179|Augusta W|Björkman|||||||39335
2180|Lorens (Lars)|Björkman||||||rustmästare bössmed|46586
2181|Nils Lorens|Björkman||||||rustmästare bössmed|47607;39335
2182|Edward|Björkman||||||Grosshandlare|43913
2208|Friedrich Jakob|Bosler (Bossler)||||||bössmed|39437
2220|Johann (Karl)|Bossard (Bosshardt)|1846 - 1914|1846|1914|Luzern|Schweiz|Konsthandlare|17412;11698
2221|Ambrosius|Bosschaert d.ä.|1573 - 1645|1573|1645|Antwerpen - Utrecht|Belgien - Nederland|Konstnär|13897
2247|David|Beck|1621 - 1656|1621|1656|||konstnär|22930
2284|Nicanor|Becker||||||protokollsekreterare|14183
2290|Gunilla|Beck-Friis f. Bielke||||||Grevinna|50110;54522
2331||Beetz||||||tillbehörstillverkare|55010;39801
2332|Cornelis|Bega|1620 - 1664|1620|1664|Haarlem|Nederland|Konstnär|14120
2340|Barthel|Beham||||||konstnär|52847
2381|Bengt|Bellander||||||jägmästare|49569
2386|J|Bellette||||||urmakare|55528
2407||Benard||||||klingsmed|45599
2413|Wilhelm|Bendix||||||Grosshandlare|46704
2478|Adriaen|Bloem||||||Konstnär|14103
2480|Peter|Blom||||||Konstnär, hattstofferare|53611;53267;53504;53428;53285;53635
2493|Anders|Bengtsson||||||pärlstickare|66385
2526|Carl Stefan|Bennet||||||Konstnär|47152
2530|John|Bennett||||||Bössmed, svärdfejare, stockmakare|41176
2545|Peter|Binoit|1590 - 1632|1590|1632|||Konstnär|23008;23007
2580|Jean Baptiste|Berain||||||ornamentstickare|46034;46033;52167
2581|Louis|Berain||||||ornamentstickare|40174
2583|Jehan (Johan)|Beranger||||||brodör|54026;68051;54018;54001;54002
2593|Gustava Charlotta von|Berchner||||||fröken|55251
2600||Berendt Simon J:r & Co.||||||klädfabrik|45817
2639|P|Berg||||||bössmed|48237
2653|Richard (Sven R.)|Bergh||||||Överintendent|69168
2732|Johan|Bergenhielm||||||friherre, ambassadör|56240;56241
2736|F A|Berger||||||konstnär, litograf|32590
2745|Axel|Bergström|1823*-1893+|1823|1893||Sverige|Statsråd, landshövding|51863
2781|Guillaume|Berleur (Beurleur)||||||bössmed|39324
2787|Jean Baptiste|Bernadotte (Karl XIV Johan)|*26.1.1764|1764||Pau|Frankrike|prins (Karl XIV Johan)|45756;62132;41163;22164;49186;42332
2789|Folke|Bernadotte af Wisborg|*2.1.1895|1895||Stockholm|Sverige|greve|64078;42144
2799||Birger Jarl||||||jarl|47611;61276;61284;61280
2827|Carl (1648-1699)|Bonde||||||greve, ambassadör|46508
2837|Clara|Bonde f. Rålamb||||||grevinna|38556
2845|Jacob|Brandberg|||||||55704;55705;55708;55703;55709;54349;55697;55700;55701;55702;55691;54355;55698;54348;54350;55688;54352;55693
2887|Albert|Bernard||||||pipsmed|42997
2889|Léopold|Bernard||||||pipsmed|40471;40519
2921|A|Bled||||||professor|37215
2924|Lars|Blekberg||||||bössmed|41585;46603
2944|Marie-Anne de|Bouillon f. Mancini||||||hertiginna|24472
2951||Bovlar||||||pistolsmed|39505
2953|André-Charles|Boulle (Boule)||||||hovschatullmakare|52167
2967|Pieter|Brueghel d.y.|1564 - 1638|1564|1638|Bryssel - Antwerpen|Belgien|Konstnär|14137
2984|Johan|Brun||||||Skräddare, ålderman|62619
2985|Mattias|Brun||||||Skomakare|63882;57995
3021||Bernhard-Franck||||||Vapensamlare|42332
3022||Bernhard av Sachsen-Weimar||||||hertig|41949
3033|Meves|Berns||||||klingsmed|60306
3084||Bertil, Hertig av Halland|*28.2.1912|1912||Stockholms slott|Sverige|prins|52182;52188;52187
3085|Claes|Bertilson||||||Hovskräddare|62618;62606
3101|Johan|Bertram d.ä.||||||klingsmedsmästare|41575;45829
3102|Johan|Bertram d.y.||||||klingsmed|45430
3104|Arthus|Bertrand||||||guldsmed|38129;37969;38152;37970
3111|Elisabet|Berzelius f. Poppius||||||friherrinna|37143
3112|Jöns Jakob|Berzelius||||||friherre, professor|37143
3120|Bernhard von|Beskow||||||friherre|37107;36565;47221;37112
3128|Gabor|Bethlen av Iktár, furste av Siebenbürgen||||||furste|45581;45580;45194;45195;45196;66900;47477;45579;45578;47360;42745;67814
3130|Maximilian de|Béthun|*1560|1560||||minister|17995
