PhoId|MulId|PhoObjId|PhoBeschreibungM|PhoAufnahmeortS|PhoSwdS|AdrVorNameS|AdrNameS|PhoSystematikS|MulPfadS|MulDateiS|MulExtentS|PstId|same_PhoId|same_object
9309|208654|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B04000-04999\M_B04600-04699|LN_B04621_007501|jpg|||
43009|193579|59070|lårbetäckning hö - LRK 22508|CC0|Livrustkammaren||||R:\web\hires\M_A\M_A02000-02999\M_A02000-02099|LN_A02065_002065|jpg|||
18413|195814|66563|javelin - LRK 29897|CC0|Livrustkammaren||||R:\web\hires\M_B\M_B10000-10999\M_B10000-10099|LN_B10042_012922|jpg|||
39584|185999|41033|hovvagn berlinare CXV, höger sida|CC BY-SA|Livrustkammaren|Samuel|Uhrdin||R:\web\hires\M_DIG\M_DIG0000-0999\M_DIG0500-0599|lm_dig0541|jpg|||56703:186001;48142:186000;31024:185998;22462:186047;13899:186046
44421|199151||slagexflintlåsbössa - enr 18503, unr 2511|CC0|Livrustkammaren||||R:\web\hires\M_B\M_B13000-13999\M_B13300-13399|LN_B13315_016195|jpg|||18740:199148;27302:199149;35863:199150
69143|207755|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B03000-03999\M_B03600-03699|LN_B03698_006578|jpg|||
9119|206835|36598|Oskar II o.Sofia guldbröllopsminnestecken - LRK 673-674|CC0|Livrustkammaren||||R:\web\hires\M_B\M_B02000-02999\M_B02700-02799|LN_B02721_005601|jpg|||
69240|208597|65456|statyett Bouchardon - GIII som barn - LRK 28927|CC0|Livrustkammaren||||R:\web\hires\M_B\M_B04000-04999\M_B04600-04699|LN_B04668_007548|jpg|||755:208599
43670|200803|39791||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B05000-05999\M_B05700-05799|LN_B05795_008675|jpg|||
51803|204450|53560||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B01000-01999\M_B01500-01599|LN_B01526_004406|jpg|||
23717|186733||utställningsbild Fäktutställningen - rum 4 över räcket|CC BY-SA|Livrustkammaren|Per Åke|Persson||R:\web\hires\M_DIG\M_DIG1000-1999\M_DIG1300-1399|lm_dig1324|jpg|||
61520|195508|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B13000-13999\M_B13000-13099|LN_B13087_015967|jpg|||
47432|194591||Fasaden|CC BY-SA|Hallwylska museet||||R:\web\hires\M_T\M_T04000-04999\M_T04600-04699|hm_t04652|jpg|||
35596|196392||standardel - enr 18127, unr 2084|CC0|Livrustkammaren||||R:\web\hires\M_B\M_B10000-10999\M_B10600-10699|LN_B10644_013524|jpg|||27035:196391;18473:196390
68912|203965|53275||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B01000-01999\M_B01300-01399|LN_B01388_004268|jpg|||
59997|192321|52168|sjuglasvagn, statsvagn nr 2 - LRK 15601|CC0|Livrustkammaren||||R:\web\hires\M_A\M_A00000-00999\M_A00700-00799|LN_A00737_000737|jpg|||15808:187921;32933:187923;38440:12253;24371:187922
13982|187454|42997|detalj dubbelbössa - LRK 6487|CC BY-SA|Livrustkammaren|Göran|Schmidt||R:\web\hires\M_DIG\M_DIG2000-2999\M_DIG2100-2199|lm_dig2169|jpg|17907;17908||22545:187455;5421:187453;31107:187456;61168:205570;52607:205569;1232:205402
686|208037|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B03000-03999\M_B03900-03999|LN_B03980_006860|jpg|||
88033|191343|28412|Web, Rustkammaren. Detalj, modell över Skoklosters slott.|CC BY-SA|Skoklosters slott|Erik|Lernestål||R:\web\hires\M_DIG\M_DIG6000-6999\M_DIG6900-6999|sm_dig6996|jpg|7957;7958;7960;7961||87841:188924;88032:191342
77633|207121|53717||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B03000-03999\M_B03000-03099|LN_B03009_005889|jpg|||42981:193302;60120:193478
43644|200471|54459||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B05000-05999\M_B05500-05599|LN_B05535_008415|jpg|||836:200398
48185|186385|61072|Brännjärn Hingstdepå helbild - LRK 24471|CC BY-SA|Livrustkammaren|Samuel|Uhrdin||R:\web\hires\M_DIG\M_DIG0000-0999\M_DIG0900-0999|lm_dig0913|jpg|20957;20958;20962;20963;20964;21057;21058||
77651|207292|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B03000-03999\M_B03100-03199|LN_B03189_006069|jpg|||
58225|187717|39480|flintlåsbössa alla fiorentina - LRK 2870|CC BY-SA|Livrustkammaren|Göran|Schmidt||R:\web\hires\M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2419_2870|jpg|||66786:187718
17788|207849|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B03000-03999\M_B03700-03799|LN_B03792_006672|jpg|||
51365|185403|58954|hjälm, zischägge - LRK 22383, baksida|CC0|Livrustkammaren||||R:\web\hires\M_A\M_A00000-00999\M_A00000-00099|LN_A00026_000026|jpg|||78276:205438;68488:185405;16524:188545;7961:188544;77355:200145;25086:188546;8869:200137
17581|204746|51457||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B01000-01999\M_B01700-01799|LN_B01722_004602|jpg|||9018:204739
1528|198313|64742||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B12000-12999\M_B12400-12499|LN_B12410_015290|jpg|||78573:198312;10088:198314
43088|194352|||CC0|Livrustkammaren||||R:\web\hires\M_A\M_A02000-02999\M_A02800-02899|LN_A02855_002855|jpg|||
48049|194929|17742|Porslin|CC BY-SA|Hallwylska museet|Samuel|Uhrdin||R:\web\hires\M_T\M_T10000-10999\M_T10800-10899|hm_t010832|jpg|||
8969|201636|53375||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B01000-01999\M_B01200-01299|LN_B01221_004101|jpg|||401:201518;26093:201638
8986|203968|53425||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B01000-01999\M_B01300-01399|LN_B01391_004271|jpg|||
77976|202014|62721||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B06000-06999\M_B06400-06499|LN_B06439_009319|jpg|||34458:193715;202:193516;77248:193553;25896:193714;43016:193716;77246:193515;396:201496;78320:206296;51576:193645;17334:193713;60137:193646
18109|202591|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B07000-07999\M_B07000-07099|LN_B07002_009882|jpg|||
35722|197739|||CC0|Livrustkammaren||||R:\web\hires\M_B\M_B11000-11999\M_B11900-11999|LN_B11904_014784|jpg|||
17203|192388||Illustration, boksida|CC0|Livrustkammaren||||R:\web\hires\M_A\M_A00000-00999\M_A00800-00899|LN_A00822_000822|jpg|||
60119|193469|||CC0|Livrustkammaren||||R:\web\hires\M_A\M_A01000-01999\M_A01900-01999|LN_A01957_001957|jpg|||
23979|187694|39766|hjullåsbössa - LRK 3189|CC BY-SA|Livrustkammaren|Göran|Schmidt||R:\web\hires\M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2447_3189|jpg|||32541:187695;41101:187696
