PhoId|MulId|MulPfadS|MulDateiS|filename
43009|193579|M_A\M_A02000-02999\M_A02000-02099|LN_A02065_002065|Lårbetäckning hö - Livrustkammaren - 43009.tif
18413|195814|M_B\M_B10000-10999\M_B10000-10099|LN_B10042_012922|Javelin - Livrustkammaren - 18413.tif
39584|185999|M_DIG\M_DIG0000-0999\M_DIG0500-0599|lm_dig0541|Hovvagn berlinare CXV, höger sida - Livrustkammaren - 39584.tif
44421|199151|M_B\M_B13000-13999\M_B13300-13399|LN_B13315_016195|Slagexflintlåsbössa - Livrustkammaren - 44421.tif
9119|206835|M_B\M_B02000-02999\M_B02700-02799|LN_B02721_005601|Oskar II o.Sofia guldbröllopsminnestecken - Livrustkammaren - 9119.tif
69240|208597|M_B\M_B04000-04999\M_B04600-04699|LN_B04668_007548|Statyett Bouchardon - GIII som barn - Livrustkammaren - 69240.tif
43670|200803|M_B\M_B05000-05999\M_B05700-05799|LN_B05795_008675|Hjullåsstudsare, Thüringen 1640-1670 c - Livrustkammaren - 43670.tif
51803|204450|M_B\M_B01000-01999\M_B01500-01599|LN_B01526_004406|Uppbådsfana för Åsarps (Norra Åsarp) socken i Redvägs härad - Livrustkammaren - 51803.tif
23717|186733|M_DIG\M_DIG1000-1999\M_DIG1300-1399|lm_dig1324|Utställningsbild Fäktutställningen - rum 4 över räcket - Livrustkammaren - 23717.tif
47432|194591|M_T\M_T04000-04999\M_T04600-04699|hm_t04652|Fasaden - Hallwylska museet - 47432.tif
35596|196392|M_B\M_B10000-10999\M_B10600-10699|LN_B10644_013524|Standardel - Livrustkammaren - 35596.tif
68912|203965|M_B\M_B01000-01999\M_B01300-01399|LN_B01388_004268|Livfana vid Södermanlands regemente - Livrustkammaren - 68912.tif
59997|192321|M_A\M_A00000-00999\M_A00700-00799|LN_A00737_000737|Sjuglasvagn, statsvagn nr 2 - Livrustkammaren - 59997.tif
13982|187454|M_DIG\M_DIG2000-2999\M_DIG2100-2199|lm_dig2169|Detalj dubbelbössa - Livrustkammaren - 13982.jpg
88033|191343|M_DIG\M_DIG6000-6999\M_DIG6900-6999|sm_dig6996|Web, Rustkammaren. Detalj, modell över Skoklosters slott - Skoklosters slott - 88033.tif
77633|207121|M_B\M_B03000-03999\M_B03000-03099|LN_B03009_005889|Karl XIs riksbanér från kröningen 1675-09-28 i Uppsala domkyrka - Livrustkammaren - 77633.tif
43644|200471|M_B\M_B05000-05999\M_B05500-05599|LN_B05535_008415|Ställning till spolar - Livrustkammaren - 43644.tif
48185|186385|M_DIG\M_DIG0000-0999\M_DIG0900-0999|lm_dig0913|Brännjärn Hingstdepå helbild - Livrustkammaren - 48185.jpg
58225|187717|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2419_2870|Flintlåsbössa alla fiorentina - Livrustkammaren - 58225.tif
51365|185403|M_A\M_A00000-00999\M_A00000-00099|LN_A00026_000026|Hjälm, zischägge, baksida - Livrustkammaren - 51365.tif
17581|204746|M_B\M_B01000-01999\M_B01700-01799|LN_B01722_004602|Ryttaryxa, Tyskland , 1500-talet, jordfynd - Livrustkammaren - 17581.tif
1528|198313|M_B\M_B12000-12999\M_B12400-12499|LN_B12410_015290|Mannekäng använd till uniform för spel modell år 1763, Hälsinge regemente - Livrustkammaren - 1528.tif
48049|194929|M_T\M_T10000-10999\M_T10800-10899|hm_t010832|Porslin - Hallwylska museet - 48049.tif
8969|201636|M_B\M_B01000-01999\M_B01200-01299|LN_B01221_004101|Kompanistandar vid Västgöta kavalleri från Karl XIs tid - Livrustkammaren - 8969.tif
8986|203968|M_B\M_B01000-01999\M_B01300-01399|LN_B01391_004271|Vaktfana vid Livgardet - Livrustkammaren - 8986.tif
77976|202014|M_B\M_B06000-06999\M_B06400-06499|LN_B06439_009319|Hjälm, sk armet, ingående i Sigismund Augusts rustningsgarnityr för man och häst - Livrustkammaren - 77976.tif
17203|192388|M_A\M_A00000-00999\M_A00800-00899|LN_A00822_000822|Illustration, boksida - Livrustkammaren - 17203.tif
23979|187694|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2447_3189|Hjullåsbössa - Livrustkammaren - 23979.tif
56454|194758|M_T\M_T09000-09999\M_T09200-09299|hm_t09273|Skråkanna- Guild tankard, skråkanna - Hallwylska museet - 56454.tif
85950|188827|M_DIG\M_DIG3000-3999\M_DIG3100-3199|sm_dig3182|Linneskåpet i Linnerundeln - Skoklosters slott - 85950.tif
8949|201437|M_B\M_B01000-01999\M_B01000-01099|LN_B01021_003901|Värja, Solingen, Peter Munich, 1600-talets mitt - Livrustkammaren - 8949.tif
61324|196960|M_B\M_B11000-11999\M_B11100-11199|LN_B11127_014007|Miniatyrporträtt av drottning Kristina av Sverige (1626-1689), ca 1650 - Livrustkammaren - 61324.tif
52763|196959|M_B\M_B11000-11999\M_B11100-11199|LN_B11126_014006|Modellritning till norsk örlogsflagga ca 1814 - Livrustkammaren - 52763.tif
42448|190536|M_DIG\M_DIG6000-6999\M_DIG6100-6199|lm_dig6169_1040|Trepaneringsborr, v. Döblen - Livrustkammaren - 42448.tif
76421|185656|M_DIG\M_DIG0000-0999\M_DIG0100-0199|lm_dig0190|Dokumentation, utställning, Cristina di Svezia, år 2004 - Livrustkammaren - 76421.jpg
87190|190041|M_DIG\M_DIG4000-4999\M_DIG4800-4899|hm_dig4829_26904|Fotografi. Porträtt. Hans von Hallwyl - Hallwylska museet - 87190.tif
1543|198395|M_B\M_B12000-12999\M_B12500-12599|LN_B12560_015440|Östergötlands vapen, broderat för hästtäcke buret vid Karl X Gustavs begravning den 4 november 1660 - Livrustkammaren - 1543.tif
35605|196481|M_B\M_B10000-10999\M_B10700-10799|LN_B10734_013614|Jacka av brun kamlott - Livrustkammaren - 35605.tif
39657|186696|M_DIG\M_DIG1000-1999\M_DIG1200-1299|lm_dig1289|Detalj, Bethlen Gabor - Livrustkammaren - 39657.tif
87197|190046|M_DIG\M_DIG4000-4999\M_DIG4800-4899|hm_dig4836_26928|Fotografi. Porträtt. Caroline Pflaum - Hallwylska museet - 87197.tif
26701|202881|M_B\M_B07000-07999\M_B07300-07399|LN_B07303_B10183|Handtag för gängtapp - Livrustkammaren - 26701.tif
42129|186813|M_DIG\M_DIG1000-1999\M_DIG1400-1499|lm_dig1404|Utställning, "Prinsessor", år 2005 - Livrustkammaren - 42129.jpg
34600|201087|M_B\M_B00000-00999\M_B00600-00699|LN_B00674_003554|Muskötlåsskydd - Livrustkammaren - 34600.tif
17268|192988|M_A\M_A01000-01999\M_A01400-01499|LN_A01472_001472|Hjullåspistol Lützen - Livrustkammaren - 17268.tif
68813|200316|M_B\M_B00000-00999\M_B00300-00399|LN_B00398_003278|Hjullåsstudsare, pipa av Georg Müller, lås Caspar Spät, stock Hieronimus Borstorffer - Livrustkammaren - 68813.tif
8574|191706|M_A\M_A00000-00999\M_A00100-00199|LN_A00151_000151|Rundsköld - Livrustkammaren - 8574.tif
87235|189973|M_DIG\M_DIG4000-4999\M_DIG4800-4899|hm_dig4874_2724|Barnbok. Pelle snusk - Hallwylska museet - 87235.tif
35611|196565|M_B\M_B10000-10999\M_B10700-10799|LN_B10794_013674|Bösspipa, tillverkad av Nils Lorens Björkman under dennes utrikesresa - Livrustkammaren - 35611.tif
77931|201002|M_B\M_B05000-05999\M_B05900-05999|LN_B05989_008869|Värja, rappir, Jacob Brach-Johannes Wundes, Solingen, c. 1600 - Livrustkammaren - 77931.tif
86518|189571|M_DIG\M_DIG4000-4999\M_DIG4300-4399|sm_dig4397|Interiör. Butiken - Skoklosters slott - 86518.tif
89173|188702|M_DIG\M_DIG3000-3999\M_DIG3000-3099|hm_dig3029|Porslin. Två tallrikar med blomsterdekor och genombrutna kanter - Hallwylska museet - 89173.tif
87572|191001|M_DIG\M_DIG6000-6999\M_DIG6700-6799|lm_dig6751|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87572.tif
8975|201696|M_B\M_B01000-01999\M_B01200-01299|LN_B01281_004161|Fana för Tranemo socken i Kinds härad - Livrustkammaren - 8975.tif
87332|190142|M_DIG\M_DIG4000-4999\M_DIG4900-4999|sm_dig4968_11571|Måleri. Hästporträtt. Juwel - Skoklosters slott - 87332.tif
25895|193705|M_A\M_A02000-02999\M_A02100-02199|LN_A02123_002123|Rundsköld - Livrustkammaren - 25895.tif
44172|196611|M_B\M_B10000-10999\M_B10800-10899|LN_B10815_013695|Pistol - Livrustkammaren - 44172.tif
9023|204785|M_B\M_B01000-01999\M_B01700-01799|LN_B01761_004641|Fängkruthorn - Livrustkammaren - 9023.tif
34794|206724|M_B\M_B02000-02999\M_B02600-02699|LN_B02614_005494|Vasaorden kraschan kmstk - Livrustkammaren - 34794.tif
87670|191170|M_DIG\M_DIG6000-6999\M_DIG6800-6899|lm_dig6826|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87670.tif
87730|190938|M_DIG\M_DIG6000-6999\M_DIG6600-6699|sm_dig6676|Indianföremål. Antropomorf klubba - Skoklosters slott - 87730.tif
69780|195841|M_B\M_B10000-10999\M_B10000-10099|LN_B10068_012948|Balja till hederssvärd nr 9926, Sverige, 1841 - Livrustkammaren - 69780.tif
7918|188458|M_DIG\M_DIG2000-2999\M_DIG2800-2899|lm_dig2801|Dokumentation, utställning, Skor ger mer år 2007 - Livrustkammaren - 7918.tif
34793|206718|M_B\M_B02000-02999\M_B02600-02699|LN_B02604_005484|Kraschan Kmstk Nordstjärneorden - Livrustkammaren - 34793.tif
68632|192984|M_A\M_A01000-01999\M_A01400-01499|LN_A01468_001468|Begravningsbanér Tavastland - Livrustkammaren - 68632.tif
73911|187671|M_DIG\M_DIG2000-2999\M_DIG2300-2399|lm_dig2375|Detalj signering flintlåsmagasinpistol - Livrustkammaren - 73911.jpg
13496|194653|M_T\M_T07000-07999\M_T07700-07799|hm_t07718|Vardagssalongen - Hallwylska museet - 13496.tif
9100|206705|M_B\M_B02000-02999\M_B02500-02599|LN_B02531_005411|Ryggharnesk till Erik XIVs paradrustning - Livrustkammaren - 9100.tif
60642|208306|M_B\M_B04000-04999\M_B04300-04399|LN_B04307_007187|Flintlåsbössa, Anders Sjöberg, Linköping ca 1810 - Livrustkammaren - 60642.tif
51366|185413|M_A\M_A00000-00999\M_A00000-00099|LN_A00036_000036|Hjälm - Livrustkammaren - 51366.tif
86720|189658|M_DIG\M_DIG4000-4999\M_DIG4400-4499|hm_dig4490_3320|Målning. Stilleben med Nautiluspokal. Bolema de Stomme - Hallwylska museet - 86720.tif
87763|188872|M_DIG\M_DIG3000-3999\M_DIG3200-3299|hm_dig3244|Reprofotografi av bild från resealbum, i samband med utställningen Samtida venetianskt konstglas - Hallwylska museet - 87763.tif
8191|188006|M_DIG\M_DIG2000-2999\M_DIG2700-2799|lm_dig2716|Dokumentation, Livrustkammarens basutställning, Rum D - Livrustkammaren - 8191.tif
77223|193306|M_A\M_A01000-01999\M_A01700-01799|LN_A01789_001789|Riksvapen Sverige-Polen-Vasa - Livrustkammaren - 77223.tif
